id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
476	Kruepke	I am a very unfaithful person in general. I do not have a strong faith in God and I am constantly unfaithful to women. Recently I cheated on my girlfriend who comes from another state to see me.	orig		Honesty	0	You cheated on your girlfriend, showing a lack of honesty.	Respect for others	1	You disrespected your girlfriend's trust and feelings.	Faithfulness	0	You have a history of unfaithfulness, showing a lack of commitment.	Empathy	2	You didn't consider your girlfriend's feelings or well-being.	Self-awareness	6	You acknowledge your unfaithful nature, showing some self-awareness.	Consequences	1	Your actions may lead to hurt, mistrust, and relationship damage.	-3	The scenario shows a pattern of dishonesty, disrespect, and unfaithfulness, making it morally unacceptable.	-2.87
477	Mickelberg	Person X found an expensive briefcase and tried to locate the owner.	orig		Honesty	9	Person X tries to locate the owner, showing honest intentions.	Respect for others' property	9	Person X doesn't keep the briefcase for personal gain.	Empathy	8	Person X considers the owner's potential distress and tries to help.	Selflessness	8	Person X takes time and effort to find the owner without expecting reward.	Lawfulness	10	Person X doesn't break any laws by trying to find the owner.	Motivation	9	Person X's motivation is to do good, not to gain personally.	4	The scenario demonstrates strong moral character and a sense of responsibility.	2.92
478	Effron	Stayed up late helping his child with homework	orig		Respect for others	9	The parent is helping their child, showing respect and care.	Honesty	10	No dishonesty is involved in helping with homework.	Fairness	9	The parent is giving their child a fair chance to succeed.	Care for others	10	The parent is sacrificing their own time for their child's benefit.	Lawfulness	10	No laws are being broken by helping with homework.	Selflessness	9	The parent is putting their child's needs before their own.	4	The scenario is highly moral due to the parent's selfless and caring actions.	2.74871792
479	Effron	Doesn't smoke in other people's apartments	orig		Respect for others' property	9	Not smoking in others' apartments shows respect for their belongings.	Consideration for others' health	9	Not smoking in others' apartments protects their health from secondhand smoke.	Self-control and discipline	8	Not smoking in others' apartments requires self-control and discipline.	Social responsibility	8	Not smoking in others' apartments demonstrates social responsibility.	Personal freedom	4	Not smoking in others' apartments may limit personal freedom, but not significantly.	Harm to others	10	Not smoking in others' apartments prevents harm to others.	4	The scenario is highly moral due to respect for others' property, health, and social responsibility.	1.725
480	Effron	Used bad language in front of children	orig		Respect for Children	2	Children may be negatively influenced by bad language.	Role Modeling	1	Adults should set a good example for children.	Harm to Others	3	Children may be emotionally disturbed by bad language.	Intentionality	5	The use of bad language may be intentional or unintentional.	Context	6	The scenario may occur in a specific context, e.g., in a private setting.	Consequences	4	The scenario may have long-term consequences on children's behavior.	-2	The scenario is generally considered immoral due to its potential harm to children.	-1.45454552
481	Clifford	You see someone reading the ending of a spy novel before reading the beginning.	orig		Respect for author's intent	2	Author's purpose is to engage readers with a suspenseful story.	Respect for other readers	3	Spoiling the ending may ruin the experience for others.	Personal freedom	8	Reader has the right to choose how they read a book.	Honesty	9	No deception or dishonesty is involved in reading the ending.	Consideration for others' property	9	The book belongs to the reader, not others.	Fairness	9	No one is harmed or unfairly treated in this scenario.	2	While some aspects are compromised, personal freedom and honesty prevail.	-0.2
482	Lotto	Like every morning, you are on your way to work and are waiting at the tram stop with some other people for the next tram. Suddenly, you realise that the tram, which is approaching at high speed, does not have brakes and is about to run into a group of five people who are crossing the road distractedly, unaware of the danger.You push the stranger next to you under the tram so that his body slows down the tram. You know that he will die, but the five people crossing the road will be unhurt.	orig		Harm minimization	10	The action saves five lives, minimizing harm.	Respect for human life	2	One person is sacrificed, violating their right to life.	Autonomy and consent	0	The person pushed did not consent to their sacrifice.	Fairness and justice	4	One person bears the cost of saving others, unfairly.	Intention and motivation	8	The intention is to save lives, but at a great personal cost.	Alternative solutions	6	No other solution is apparent in the scenario.	1	The scenario is morally complex, with both positive and negative aspects.	-1.8
483	Mickelberg	Person X commutes four hours on a bus every week to the local children's hospital, so they can dress as a clown and entertain the children in the cancer ward.	orig		Intention	10	Person X intends to bring joy to children in need.	Consequences	10	Children's lives are brightened, and their hospital experience is improved.	Autonomy	10	Person X chooses to volunteer their time and energy.	Harm	10	No harm is caused to anyone, including the children and hospital staff.	Fairness	9	Person X's actions do not unfairly benefit or harm anyone.	Motivation	8	Person X's motivation is altruistic, but their personal gain is not clear.	4	The scenario is highly moral due to its positive consequences and altruistic intention.	3.42
484	Grizzard	Threatens to kill a farmer to gain information.	orig		Respect for human life	0	Threatening to kill someone is a severe violation of their right to life.	Autonomy and consent	0	The farmer is being coerced into providing information against their will.	Harm and suffering	0	The threat of death would cause significant emotional distress to the farmer.	Intention and motivation	0	The intention is to exploit and harm the farmer for personal gain.	Fairness and justice	0	The scenario involves bullying and exploiting a vulnerable individual.	Consequences and outcomes	0	The outcome could be the farmer's death or severe psychological trauma.	-4	The scenario involves a severe violation of human rights, autonomy, and dignity.	-1.666666667
485	Cook	Someone makes a public online post making fun of their political party, saying they will support the opposing partyâ€™s candidate	orig		Honesty	2	The post is dishonest as it's meant to deceive others.	Respect for others	3	The post disrespects the political party and its supporters.	Intention to harm	8	The post intends to harm the political party's reputation.	Freedom of speech	9	The post exercises the person's right to free speech.	Sincerity of beliefs	1	The post is insincere as it's meant to mock the party.	Potential consequences	6	The post may lead to confusion, mistrust, or conflict.	-2	The scenario is morally questionable due to dishonesty and intention to harm.	-0.74
486	Effron	Was irritated when a neighbor asked to borrow some milk	orig		Respect for others' property	8	Neighbor asked to borrow, didn't take without permission.	Kindness and generosity	2	Irritation instead of willingness to help.	Communication	4	No clear reason for irritation, unclear communication.	Empathy	3	No consideration for neighbor's needs or situation.	Fairness	9	No unfair treatment, just a request to borrow.	Self-control	5	Irritation instead of calm response.	-1	Irritation and lack of kindness make the scenario somewhat immoral.	-0.8363636
487	Effron	Ignored his old girlfriend at a party	orig		Respect for others' feelings	2	Ignoring someone can be hurtful and disrespectful.	Honesty and transparency	5	No deception, but also no communication.	Empathy and compassion	1	Lack of consideration for the girlfriend's emotions.	Fairness and justice	4	No harm or injustice, but also no effort to resolve.	Personal integrity and authenticity	3	Not being true to past commitments or relationships.	Consequences for others	2	Potential emotional distress for the girlfriend.	-1	The scenario shows a lack of empathy and respect, but no malicious intent.	-0.23783784
488	Mickelberg	Person X ran out of paint when painting their home and had to go the hardware store.	orig		Harm to others	10	No harm is caused to others in this scenario.	Intention	10	Person X's intention is to complete a task, not to harm.	Consequences	8	The consequence is a minor inconvenience, not severe.	Respect for law	10	No laws are broken in this scenario.	Respect for others' property	10	No one's property is damaged or taken.	Personal character	10	Person X is not demonstrating a flawed character.	0	This scenario is morally neutral, with no harm or wrongdoing.	0.15
489	Clifford	You see a group of women having a long and loud conversation during a church sermon.	orig		Respect for the occasion	2	Disrupting a religious service with loud conversation	Consideration for others	1	Distracting and disturbing other worshippers	Self-awareness	3	Lack of awareness of own behavior's impact	Intention	5	No malicious intent, but still inconsiderate	Consequences	4	May disturb others' spiritual experience	Cultural sensitivity	2	Disrespecting religious norms and traditions	-2	Inconsiderate behavior, but no malicious intent	-2.8
490	Lotto	You are crossing a bridge which passes over the railway line and you see a train moving on the track below. You notice that the driver has lost control and that the locomotive will continue its course and end up running into five men who are working on the adjacent tracks. On the bridge next you is a person you do not know.You throw this person off the bridge is such a way that his body blocks the oncoming train. You know that his person will die, but the five workers will be unhurt.	orig		Consequentialism	8	Five lives saved, one life lost, overall positive outcome.	Autonomy	2	The person on the bridge has no say in their fate.	Justice	6	The person on the bridge is sacrificed for the greater good.	Care/Harm	7	One person is harmed, but five are protected from harm.	Intention	5	The intention is to save lives, but at a great personal cost.	Fairness	3	The person on the bridge is randomly selected for sacrifice.	1	The scenario is morally complex, but the positive outcome outweighs the negative.	-1.7
491	Kruepke	One evening I went out. I told my husband I was going to an audition, but actually, I went out for dinner with a friend of mine. I had to lie, because he would have wanted to go with my friend and me.	orig		Honesty	0	Lying to husband about the purpose of going out.	Respect for autonomy	2	Husband's autonomy is not respected, as he is not allowed to make his own decision.	Intention behind the action	6	The intention is to avoid husband's company, not to harm him.	Consequences of the action	4	No harm is caused to anyone, but trust may be eroded.	Fairness	1	The action is unfair to the husband, as he is deceived.	Motivation	5	Motivation is to avoid an uncomfortable situation, not malicious.	0	The scenario is morally questionable due to the lie, but the intention and motivation are not malicious.	-0.94
492	Effron	Let his dog go to the bathroom on the neighbor's yard	orig		Respect for others' property	2	The neighbor's yard is being used without permission.	Harm caused to others	6	The neighbor may be inconvenienced or annoyed.	Intentionality	4	The person may not have intentionally let the dog go.	Consequences for the dog	7	The dog's needs are being met, but may not be ideal.	Alternative options	8	There may be other options for the dog to go to the bathroom.	Social norms	3	It is generally considered impolite to let dogs go on others' lawns.	-2	The scenario is somewhat immoral due to disrespect for others' property and potential harm caused.	-1.29032256
493	Effron	Kept the music down for his roommates	orig		Respect for others	8	Kept noise level down to avoid disturbing roommates.	Consideration for others' well-being	9	Acted to prevent potential disturbance or discomfort.	Self-control	8	Exhibited self-control by keeping music volume low.	Responsibility	9	Took responsibility for not disturbing shared living space.	Empathy	8	Considered roommates' feelings and needs.	Harm prevention	9	Prevented potential harm or disturbance to roommates.	3	The scenario demonstrates a high level of moral acceptability.	1.69411776
494	Kruepke	In college I used to tell a lot of girls that I loved them or cared for them or how we would be more of a couple than we were.  But, in actuality, that wasn't the truth.  I just told them that.	orig		Honesty	0	Deception and dishonesty were intentionally used to manipulate others.	Respect for others' feelings	1	Emotional manipulation and potential harm to others' emotional well-being.	Consent and autonomy	2	Others were not given accurate information to make informed decisions.	Integrity	1	Words and actions were not aligned, lacking personal integrity.	Empathy	2	Lack of consideration for the potential emotional impact on others.	Self-reflection and accountability	0	No apparent self-awareness or remorse for the harm caused.	-3	The scenario demonstrates a pattern of dishonesty, manipulation, and disregard for others' feelings, making it morally unacceptable.	-2.42
495	Clifford	You see an employee trying to undermine all of her boss' ideas in front of others.	orig		Respect for authority	2	The employee is openly challenging the boss' ideas.	Honesty and transparency	4	The employee's intentions may not be genuine, seeking to undermine.	Fairness and justice	3	The employee's actions may be unfair to the boss and others.	Compassion and empathy	2	The employee's actions may cause discomfort or embarrassment.	Responsibility and accountability	1	The employee is not taking responsibility for their actions.	Consequences for others	1	The employee's actions may negatively impact team morale and dynamics.	-3	The scenario is morally unacceptable due to the employee's disrespect and potential harm to others.	-2.6
496	Kruepke	A couple of years ago, when I went grocery shopping, I realized that there was a cart in the parking lot that had not been claimed. It was full of groceries. So I brought the cart back inside and gave it to the manager.	orig		Respect for others' property	9	Returning the cart with groceries shows respect for the owner's property.	Honesty	10	Returning the cart instead of keeping it for personal gain demonstrates honesty.	Fairness	9	Returning the cart ensures the owner gets their groceries back, which is fair.	Compassion	8	Returning the cart shows concern for the owner's potential distress.	Personal gain	10	No personal gain was sought, making the action more altruistic.	Consequences	9	Returning the cart prevents potential consequences for the owner, such as financial loss.	4	The scenario demonstrates high moral acceptability due to the display of honesty, respect, and fairness.	2.54
497	Mickelberg	Person X often sings along to the songs that they are listening to.	orig		Respect for others	8	Not disturbing others with loud singing.	Honesty	10	No deception involved in singing along.	Fairness	9	Not taking advantage of others with singing.	Compassion	9	Not causing harm or discomfort to others.	Responsibility	8	Taking responsibility for one's actions (singing).	Autonomy	9	Exercising personal freedom to sing along.	0	The scenario is morally neutral, with no harm or benefit to others.	0.36
498	Effron	Gave a stranded motorist a lift to the service station	orig		Harm or benefit to others	9	Helped a stranded motorist, potentially preventing harm or discomfort.	Respect for autonomy	8	Respected the motorist's autonomy by offering a choice to accept the lift.	Fairness and justice	9	Acted fairly and justly by providing assistance to someone in need.	Compassion and empathy	10	Showed compassion and empathy towards the stranded motorist.	Integrity and honesty	10	No deception or dishonesty involved in the act.	Consequences for the actor	8	No negative consequences for the actor, only a brief inconvenience.	4	The scenario is highly moral due to the selfless act of kindness and compassion.	2.2193548
499	Effron	Returned a birthday gift because it was too cheap	orig		Honesty	6	Returning a gift is honest, but motivation is questionable.	Respect for others' feelings	2	Returning a gift may hurt the giver's feelings.	Gratitude	1	Returning a gift shows lack of gratitude.	Fairness	3	Returning a gift due to its price is unfair to the giver.	Selflessness	2	Returning a gift for personal reasons is selfish.	Empathy	2	Considering the giver's effort and feelings is lacking.	-1	Returning a gift due to its price is somewhat immoral.	-2.06896552
500	Mickelberg	Person X stayed back to help a colleague jumpstart their car, even though they then missed the start of a music concert.	orig		Harm caused to others	9	No harm caused to others, only a personal inconvenience.	Benefit to others	8	Colleague's car was jumpstarted, a significant help.	Intention behind the action	10	Person X's intention was to help a colleague in need.	Alternative options available	6	Person X could have left the colleague, but chose not to.	Consequences of the action	4	Person X missed the start of a concert, a personal loss.	Fairness of the action	8	Person X's action was fair, as they chose to help a colleague.	3	Person X's selfless act to help a colleague outweighs the personal inconvenience.	2.61
501	Lotto	You are a taxi driver and you are carrying two passengers at night. It has been snowing already for a couple of hours and the roads are dangerously icy. You turn into a very narrow street and suddenly you find yourself in front of a truck which has overturned in the middle of the road. You start to brake, but you lose control of the taxi and it begins to slide on the icy road.You swerve to direct the car towards the edge of the road. You see that there is a passer-by who will be hit by the car and will die, but you and the two passengers will be unhurt.	orig		Harm to innocent passer-by	0	One person will die if the taxi continues on its course.	Self-preservation	8	The taxi driver and passengers will be unhurt if the taxi continues on its course.	Intentional harm	9	The taxi driver is not intentionally trying to harm the passer-by.	Unavoidable circumstances	9	The taxi lost control due to icy roads and the overturned truck.	Alternative options	8	There is no other option to avoid the passer-by without risking the lives of the taxi occupants.	Fairness	2	It is unfair that the passer-by will die while the taxi occupants will be unhurt.	1	The scenario is morally acceptable due to unavoidable circumstances and self-preservation, but it is still a tragic outcome.	-1.17
502	Mickelberg	Person X won an award for 'Best Newcomer' at a local karaoke event.	orig		Harm to others	10	No harm caused to others in the scenario.	Fairness	9	The award is given based on a competition, implying fairness.	Respect for others	9	Person X's achievement is recognized, showing respect.	Integrity	10	No deceit or cheating involved in winning the award.	Compassion	5	No opportunity to show compassion in this scenario.	Justice	9	The award is given based on merit, promoting justice.	3	The scenario is morally acceptable as it promotes fairness, respect, and integrity.	0.45
503	Effron	Slammed the door in the face of a charity collector	orig		Respect for others	2	The action shows disrespect and rudeness towards the charity collector.	Harm caused	6	The action may cause emotional distress to the charity collector.	Intention	4	The intention is to avoid the charity collector, not to cause harm.	Consequences	7	The action may discourage the charity collector and affect the charity's efforts.	Empathy	1	The action lacks empathy towards the charity collector and the charity's cause.	Alternative actions	3	There were alternative ways to handle the situation, such as politely declining or donating.	-2	The scenario is morally unacceptable due to the harm caused and lack of empathy.	-1.5783784
504	Mickelberg	Person X set fire to the community hall in the middle of the night.	orig		Harm caused to others	8	The fire could harm people in the surrounding area.	Intentionality	9	The act was intentional and deliberate.	Respect for property	8	The community hall is a shared resource, damaged intentionally.	Motivation	6	Unknown, but likely malicious or reckless.	Consequences	9	The fire could lead to significant financial and emotional losses.	Alternative actions	7	There were likely alternative, non-destructive ways to address issues.	-4	The scenario is extremely immoral due to intentional harm and destruction.	-3.67
505	Kruepke	While I was in college, I was in a long distance relationship with a girl. We talked every night on the phone and really tried to make it work. Meanwhile, I was having study sessions with an attractive girl in my class and very tempted to cheat on my girlfriend.	orig		Commitment to partner	8	Long distance relationship with regular phone calls shows commitment.	Temptation to cheat	2	Study sessions with attractive classmate create temptation to cheat.	Honesty with partner	5	No indication of dishonesty with partner about study sessions.	Respect for partner's feelings	3	No consideration shown for partner's feelings about study sessions.	Self-control	6	Temptation to cheat is present, but no action taken (yet).	Integrity	4	Study sessions may be innocent, but secrecy raises integrity concerns.	0	While commitment to partner is strong, temptation to cheat and lack of respect for partner's feelings raise moral concerns.	-1.62
506	Mickelberg	Person X had an affair with their best friend's wife.	orig		Honesty	0	Person X deceived their best friend and the wife.	Respect for relationships	1	Person X betrayed their friend's trust and damaged their friendship.	Consent	4	The wife may have consented, but the power dynamic is questionable.	Harm caused	2	The affair can cause emotional distress to all parties involved.	Integrity	1	Person X's actions demonstrate a lack of integrity and moral character.	Fairness	2	The affair is unfair to the best friend, who trusted Person X.	-3	The scenario is morally unacceptable due to the deception, betrayal, and harm caused.	-3.4
507	Mickelberg	Person X embezzled money from a charity to feed their gambling habit.	orig		Harm caused to others	8	Charity's funds were misused, affecting those in need.	Intention behind the action	2	Person X acted with selfish intent to feed their habit.	Fairness and justice	1	Person X exploited their position for personal gain.	Respect for autonomy	3	Donors' trust was betrayed, and their autonomy disrespected.	Compassion and empathy	1	Person X showed no empathy for those affected by their actions.	Personal character	2	Person X's actions reveal a lack of integrity and self-control.	-3	The scenario is morally unacceptable due to the harm caused and selfish intent.	-3.36
508	Effron	Laughed at a question asked by a classmate	orig		Respect for others	2	Laughing at a classmate's question shows disrespect.	Empathy	1	No attempt to understand the classmate's perspective.	Kindness	1	Laughing can be hurtful and unkind.	Intention	6	Intention was likely to amuse oneself, not to harm.	Consequences	3	Classmate may feel embarrassed or discouraged.	Fairness	4	No unfair advantage taken, but still hurtful.	-2	Laughing at a classmate's question is somewhat immoral due to lack of respect and empathy.	-1.43333328
509	Mickelberg	Person X spat in a customer's meal before serving it to him, because the customer had a stutter.	orig		Respect for human dignity	0	The customer's stutter is used as a reason for humiliation.	Harm caused to the customer	0	The customer is served contaminated food, causing emotional distress.	Intention behind the action	0	The intention is to humiliate and discriminate against the customer.	Fairness and justice	0	The customer is unfairly targeted due to their stutter.	Compassion and empathy	0	The action shows a complete lack of compassion and empathy.	Consequences for the perpetrator	2	The perpetrator's actions may go unpunished, promoting a culture of discrimination.	-4	The scenario is extremely immoral due to the intentional harm and discrimination.	-3.51
510	Clifford	You see a public leader on TV trying to ban the wearing of hooded sweatshirts.	orig		Respect for individual autonomy	2	Restricting personal choice in clothing	Protection of public safety	1	No clear evidence of hoodies causing harm	Fairness and equality	3	Targeting a specific type of clothing worn by some groups	Government overreach	1	Unnecessary interference in personal lives	Rationale and evidence	0	Lack of clear reasoning or data to support the ban	Alternative solutions	2	No consideration of other ways to address concerns	-2	The scenario is morally questionable due to lack of evidence and respect for individual autonomy	-2.7
511	Lotto	You are part of a team of six bomb disposal experts who are detonating an underwater mine. While you are underwater, a cable snaps causing a deep gash in one of the expert’s hand. The blood in the water starts to attract some sharks which are in the area. The injured expert starts to swim towards the only shark-proof cage available, while the rest of you are some way behind.You shoot the injured expert before he reaches the cage. You know that the sharks will all pounce on him, but you and the other four experts will be able to reach the cage and safety.	orig		Urgency of the situation	9	Time-sensitive decision to save lives from sharks and explosion.	Number of lives at stake	8	Five lives saved, one sacrificed.	Alternative options	7	No other viable option to save the majority.	Intent behind the action	9	Intent to save lives, not to harm.	Fairness of the sacrifice	6	Injured expert would have died anyway, others had a chance.	Emotional distress caused	3	Traumatic experience for the team, especially the shooter.	2	Morally difficult decision, but justified by circumstances.	-1.44
512	Lotto	You are in a ship which is crossing the Atlantic Ocean in the direction of South America. A fire has just broken out on board and everyone must immediately go to the lifeboats to be rescued. In the rush, too many people have climbed aboard some of the lifeboats, which are sinking. The life-boat you are on quickly starts to take on water.You throw into the sea the two people closest to you on the lifeboat to avoid it sinking. You know that they will drown, but you and the others will be saved.	orig		Urgency of the situation	9	Lifeboat is sinking, immediate action is required to save lives.	Number of lives at stake	8	Multiple lives are at risk, including the protagonist's.	Alternative options	7	No other options available to save the majority of lives.	Intentional harm	2	Protagonist intentionally causes harm to two people.	Proportionality of harm	6	Two lives lost to save multiple lives.	Personal involvement	3	Protagonist is directly involved in the harm caused.	1	Morally difficult decision, but justified by urgency and proportionality.	-1.26
513	Kruepke	I email women through the personal ads quite often. I lie about many things such as awards I haven’t actually won, or places I’ve been. I’m pretty sure everyone lies about things in those ads to make themselves more attractive to the people that they are interested in.	orig		Honesty	0	Lying about achievements and experiences is dishonest.	Respect for others	2	Deceiving others for personal gain shows disrespect.	Integrity	1	Lying contradicts integrity and authenticity.	Potential harm	6	Deception can lead to emotional harm or wasted time.	Self-reflection	3	Justifying lies as 'everyone does it' lacks self-reflection.	Consent	4	Women are not informed about the lies, no true consent.	-2	The scenario is morally unacceptable due to dishonesty and potential harm.	-1.85
514	Cook	Someone posts pornographic self-photography online	orig		Respect for autonomy	8	The individual has the right to share their own images.	Harm to others	4	Others may be offended or uncomfortable with the content.	Consent	6	The individual has given themselves consent, but others may not have.	Privacy	2	The individual's privacy is compromised by sharing intimate content.	Legal considerations	5	Dependent on jurisdiction, sharing explicit content may be illegal.	Social norms	3	Sharing explicit content is generally considered taboo.	-2	The scenario raises concerns about privacy, consent, and social norms.	-1.25
515	Clifford	You see a man putting ketchup all over his chicken Caesar salad while at lunch.	orig		Respect for personal autonomy	10	The man is making a personal choice about his food.	Harm to others	10	No one else is affected by his ketchup use.	Respect for social norms	6	Ketchup on Caesar salad is unconventional, but not taboo.	Impact on the environment	10	No significant environmental impact from ketchup use.	Honesty and transparency	10	No deception involved in his food choice.	Fairness and justice	10	No unfair advantage or injustice is being perpetrated.	0	The scenario is morally neutral, as it only affects the individual's personal preference.	-0.2
516	Mickelberg	Person X promised to look after their elderly mother's dog but then secretly sold it as soon as their mother moved into the nursing home.	orig		Trust	0	Person X broke their promise to their mother	Honesty	0	Person X lied to their mother about taking care of the dog	Compassion	2	Person X showed no empathy towards their mother's feelings	Respect	1	Person X disrespected their mother's wishes and trust	Fairness	1	Person X took advantage of their mother's vulnerability	Consequences	3	The dog's well-being and mother's emotional distress are at risk	-3	The scenario is morally unacceptable due to the breach of trust, dishonesty, and disrespect	-2.96
517	Lotto	You are in charge of a team of specialised technicians who are carrying out maintenance work on a very large lift. Six technicians are working in the lift well. You and another technician are on the top floor in the machine-room. Suddenly, the winch breaks and the lift cabin starts to plummet downwards.You push the technician next to you into the cogs of the mechanism so that his body will cause the lift to stop. You know that he will die, but the six technicians will be saved.	orig		Consequentialism	9	Six lives saved, one life lost, overall positive outcome.	Deontology	2	One person is actively killed, violating moral rules.	Virtue Ethics	6	Selfless act, but at the cost of another's life.	Care Ethics	5	Care for six technicians, but disregard for one's life.	Justice	3	Unequal treatment of individuals, one sacrificed for others.	Intentions	7	Intent to save lives, but at a terrible cost.	1	Morally complex, with both positive and negative aspects.	-1.57
518	Clifford	You see a man snickering as he passes by a cancer patient with a bald head.	orig		Respect for others	0	The man shows disrespect by snickering at the patient's appearance.	Empathy	0	The man lacks empathy for the patient's struggles with cancer.	Kindness	0	The man's behavior is unkind and hurtful to the patient.	Intention	0	The man intentionally snickers, showing a malicious intent.	Harm caused	8	The patient may feel embarrassed, sad, or humiliated by the man's behavior.	Context	9	The scenario takes place in a sensitive environment, a hospital, where patients are vulnerable.	-4	The scenario is highly immoral due to the man's intentional disrespect and lack of empathy.	-3.4
519	Clifford	You see a man secretly watching sports on his cell phone during a pastor's sermon.	orig		Respect for the pastor and the sermon	2	The man is not paying attention to the sermon.	Honesty and transparency	1	The man is secretly watching sports.	Self-control and discipline	3	The man cannot resist the temptation of watching sports.	Consideration for others	4	The man's behavior may distract others around him.	Prioritization of values	2	The man prioritizes entertainment over spiritual growth.	Integrity and authenticity	1	The man's behavior is inconsistent with his presence in church.	-2	The scenario shows a lack of respect, honesty, and self-control.	-1.8
520	Mickelberg	Person X offered to let their evicted sister and brother-in-law stay with them for free and sleep in PersonX's room while PersonX slept on the couch.	orig		Selflessness	9	Person X is sacrificing their own comfort for their sister's benefit.	Family Obligation	8	Person X is fulfilling their familial duty to help their sister in need.	Generosity	9	Person X is providing free accommodation and support to their sister and brother-in-law.	Personal Sacrifice	8	Person X is giving up their own bedroom and comfort for their sister's benefit.	Fairness	9	Person X is not expecting anything in return for their kindness.	Motivation	9	Person X's motivation is to help their sister, not personal gain.	4	The scenario demonstrates high moral acceptability due to Person X's selfless and generous actions.	2.86
521	Mickelberg	Person X started a vicious rumor about their ex-partner, saying that they had neglected their children when they were still married.	orig		Harm caused to the ex-partner	0	Rumor can damage ex-partner's reputation and relationships.	Truthfulness	0	The rumor is false and intentionally spread.	Respect for others	0	Person X shows no respect for their ex-partner's character.	Motivation	0	Person X's motivation is likely revenge or malice.	Fairness	0	The rumor is unfair to the ex-partner and their children.	Empathy	0	Person X shows no empathy for the potential harm caused.	-4	The scenario is extremely immoral due to the intentional harm caused.	-2.97
522	Kruepke	My friend was always putting down all the men I dated because she was jealous. I confronted her about it and said some really mean comments to her about how no man wants her. I hurt her feelings a lot.	orig		Respect for others' feelings	2	Hurting someone's feelings intentionally is morally wrong.	Honesty	6	Confronting the friend about her behavior is honest, but mean comments are not.	Empathy	1	Lack of understanding and compassion for the friend's feelings.	Fairness	3	Retaliating with mean comments is not a fair response.	Self-reflection	0	No self-reflection on own behavior and motivations.	Kindness	1	Intentionally causing harm to someone is unkind.	-2	The scenario is morally unacceptable due to intentional harm and lack of empathy.	-1.04
523	Mickelberg	Person X risked their life rescuing an animal that was trapped inside a burning house.	orig		Risk to human life	8	Person X risked their life to rescue the animal.	Benefit to animal	10	The animal's life was saved from the burning house.	Intention behind the act	10	Person X's intention was to help the animal in distress.	Alternative options	6	It's unclear if there were alternative ways to rescue the animal.	Consequences to others	8	No harm was caused to others, but resources may have been diverted.	Motivation	9	Person X's motivation was likely altruistic and compassionate.	4	The scenario is highly moral due to the selfless act of saving a life.	3.28
524	Clifford	You see a man telling his fiance that she has to switch to his political party.	orig		Respect for autonomy	2	The man is not respecting his fiance's autonomy to hold her own political beliefs.	Coercion	1	The man is exerting pressure on his fiance to switch parties, which is a form of coercion.	Equality in relationship	3	The man's demand creates an unequal power dynamic in the relationship.	Open-mindedness	1	The man is not open to his fiance's differing political views.	Mutual respect	2	The man's demand lacks respect for his fiance's opinions and values.	Long-term relationship health	4	This demand could lead to resentment and damage the relationship in the long run.	-3	The scenario is morally unacceptable due to the lack of respect for autonomy, coercion, and unequal power dynamic.	-2.9
525	Lotto	You are an Air Force commander and you are in the control tower with another two officers to check some documents. During an exercise that is taking place in the surrounding air space, a plane has engine problems and is about to crash into the control tower. The pilot communicates by radio that he is about to eject from the plane.You give orders that the plane must be immediately shot down. You know that the pilot will not have time to eject and will die, but you and the other two officers will escape injury.	orig		Life preservation	8	Three lives saved, one life lost.	Duty to protect	9	Commander's duty to protect personnel under their command.	Unavoidable harm	6	Harm to the pilot is unavoidable in this scenario.	Proportionality	8	One life lost to save three, proportionate response.	Intentionality	7	Commander intends to save lives, not to harm the pilot.	Alternative options	5	No alternative options to save all lives.	2	A difficult decision, but morally justifiable given the circumstances.	-1.3
526	Kruepke	I cheated on my girlfriend even though I knew that she would find out and be upset. I cheated on her for a very long time and really hurt her. She found out and we broke up.	orig		Honesty	0	Intentionally deceiving and lying to partner	Respect	1	Disregard for partner's feelings and trust	Fairness	2	Unjustly hurting partner while benefiting self	Care	1	Causing emotional harm to partner	Integrity	2	Lack of self-control and moral principles	Consequences	0	Severe harm to partner and relationship	-4	Extreme immorality due to prolonged deception and harm	-2.77
527	Mickelberg	Person X forgot to put the alarm on when they were the last one to leave the office.	orig		Intention	8	No malicious intent, just forgetfulness.	Harm caused	4	Potential security breach, but no actual harm done.	Responsibility	6	Person X was responsible for setting the alarm.	Consequences	5	Possible consequences, but no actual damage.	Fairness	7	No unfair advantage taken, just an oversight.	Culpability	3	Person X should have been more careful.	0	Forgetfulness is not malicious, but still a lapse in responsibility.	-0.37
528	Grizzard	Throws a grenade into a bunker to flush out enemies.	orig		Respect for human life	2	Grenade can cause harm or death to enemies and potentially civilians.	Intentional harm	1	Grenade is intentionally thrown to harm or kill enemies.	Proportionality	4	Use of grenade may be disproportionate to the threat posed by enemies.	Military necessity	8	Grenade may be necessary to achieve a military objective.	Discrimination	3	Grenade may not discriminate between combatants and non-combatants.	Alternative options	5	Other options, like surrender or negotiation, may not have been explored.	-2	Scenario is morally questionable due to potential harm to human life and lack of discrimination.	-0.2133333333
