id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
531	Clifford	You see an intern disobeying an order to dress professionally and comb his hair.	orig		0	0	0	-3	0	2	1	No direct harm involved	Not related to cheating	Not a betrayal or loyalty issue	Disobedience towards authority	Not degrading or related to sanctity	Individual liberty in personal appearance	The intern's action is slightly more acceptable than not, considering personal liberty	-1.9
532	Lotto	You are a specialist in underwater welding. You are working with your team of three other people in a small dam at a depth of 30m under water. Because of a problem with the flow regulator, about 100 cubic metres too much water has flowed into the dam. The pressure is too great and you are unable to surface.You activate the opening of the sluice gates. The water will flow into the valley where there is an observatory. You know that a researcher works there, and he/she will be swept away in the overflow water, but you and the other three will be saved.	orig		-3	0	-2	0	0	-3	-2	Causing harm to researcher for group safety	No explicit cheating or unfairness involved	Prioritizing team's safety over researcher's	No explicit subversion or authority issue	No explicit degradation or sanctity issue	Restricting researcher's liberty for group safety	Causing harm and restricting liberty for group safety	-1.1
533	Effron	Made an obscene gesture at an old lady	orig		-5	0	0	0	-5	-4	-4	Clear harm towards the elderly's dignity	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	No direct relation to subversion or authority	Degrades the sanctity of respect for elders	Infringes on the liberty of feeling safe and respected	This scenario is extremely immoral due to causing harm, degrading sanctity, and limiting liberty	-2.18181816
534	Mickelberg	Person X taught their nephew how to drive at the local shopping center car park, after the shops had shut.	orig		3	0	1	1	0	2	3	Minimal risk of harm, controlled environment	No direct relation to cheating or fairness	No betrayal, teaching a family member	Indirectly subverting traffic laws, but for learning	No direct relation to degradation or sanctity	No restriction of freedom, promoting safe driving	Teaching nephew to drive in a controlled environment	1.43
535	Kruepke	My sister is five years older than I am. When we were little she would always tease me about things. So one day when she was teasing me about something, I threw a pencil at her.	orig		-2	0	0	0	0	-1	-2	A slight act of harm	No relation	No direct relation	No relation	No relation	Minor restriction of sister's liberty	The act of throwing a pencil is not extremely immoral, but it is slightly morally unacceptable	-1.05
536	Mickelberg	Person X learned how to play the piano when they were a child.	orig		0	0	0	0	0	3	4	No harm or help involved in learning piano	No cheating or fairness issue in learning piano	No betrayal or loyalty involved in learning piano	No subversion or authority issue in learning piano	No degradation or sanctity issue in learning piano	Learning piano promotes personal liberty and freedom	Learning piano is a positive and liberating activity	0.51
537	Kruepke	One night I was having sex with my boyfriend. He said that he had a condom on but at the end I found out that he didn't. I became pregnant and since I just had had a baby recently, I decided to have an abortion.	orig		-4	-3	-3	0	-2	2	-2	Harm caused by unprotected sex and abortion	Concealing truth about condom usage	Betrayal of trust regarding protection	No direct relation to this scenario	Abortion may be seen as degrading to some	Autonomy in reproductive decisions	Complex scenario with negative moral acceptability	-0.78
538	Clifford	You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.	orig		0	0	-3	-3	0	-2	-2	Neutral as no direct harm is involved	Neutral as no cheating is involved	Negative, implies betrayal of one's country	Negative, undermines US authority and leadership	Neutral as no sanctity is involved	Negative, infringes on freedom of speech and expression	The scenario is not highly moral due to elements of betrayal and subversion	-2.2
539	Mickelberg	Person X told the children to be quiet in the library.	orig		3	0	0	4	0	1	3	Minimizing noise to avoid disturbance	Not applicable	Not applicable	Upholding library rules and respecting authority	Not applicable	Minor restriction of freedom for the greater good	Requesting quiet in a library is generally acceptable	0.57
540	Effron	Spent time one summer teaching his daughter to play baseball	orig		5	0	5	0	0	0	4	Helping daughter develop a skill	No unfair advantage gained	Strengthening familial bond	No challenge to established hierarchy	No desecration of values	No infringement on personal freedom	Teaching baseball to one's daughter is generally seen as a positive act	2.06666664
541	Mickelberg	Person X started a false rumor that their office colleague Mary used to be a sex worker.	orig		-5	0	-4	-3	-5	-4	-4	Causing harm to Mary's reputation	No direct involvement of cheating	Betrayal of trust and loyalty towards Mary	Undermining office hierarchy and respect	Stigmatizing and degrading Mary's past	Restricting Mary's freedom and personal privacy	Spreading false rumors about someone's past is immoral	-3.09
542	Effron	Gave food to the needy	orig		5	0	0	0	0	4	4	Helping the needy	No relation to cheating	No relation to betrayal	No relation to subversion	No relation to degradation	Promoting freedom from hunger	Giving food to the needy is a highly moral act	3.23076936
543	Lotto	You are at Luna Park and you have decided to take a ride on the roller coaster. You get into the carriage together with four other people. After a couple of circuits, the speed starts to increase dramatically right at the point that the carriage does a loop the loop. The technician in charge tells you over the loudspeaker that the mechanism which controls the brakes is not responding.You pull the emergency handle in the carriage that will make it divert on to another track. You can see there is a man working there. The carriage will run into him and he will die, but you and the other four will be unhurt.	orig		-3	0	0	-2	0	-3	-2	Causing harm to one for saving five	No relation to cheating or fairness	No relation to betrayal or loyalty	Subverting the technician's authority	No relation to degradation or sanctity	Restricting the worker's liberty for greater good	Weighing harm, liberty, and authority, it's a morally complex scenario with negative moral acceptability	-1.09
544	Clifford	You see a boss pressuring employees to buy goods from her family's general store.	orig		-3	-4	-3	-4	0	-3	-3	Boss's pressure might negatively affect employees	Potential favoritism towards family business	Pressuring employees can undermine loyalty	Boss misusing authority for personal gain	No direct connection to this scenario	Employees may feel coerced, limiting their freedom	Pressuring employees for personal gain is generally considered immoral	-2.7
545	Effron	Demanded a refund at a restaurant for slow service	orig		1	3	0	1	0	3	3	Minimal harm, focused on service quality	Requesting refund for slow service is fair	No loyalty involved in customer-restaurant relationship	Challenging slow service, not undermining restaurant	No sacred values affected by requesting a refund	Customer exercising their right to fair service	Standing up for fairness and liberty	-0.8432432
546	Clifford	You see a woman answering a phone call with the word "goodbye" instead of "hello.	orig		0	0	0	0	0	0	0	No direct harm or help involved	Does not clearly relate to cheating or fairness	Not related to betrayal or loyalty	Does not subvert any authority	No degradation or sanctity issues	Does not restrict personal freedom	The scenario is neutral in terms of morality	-0.5
547	Clifford	You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend	orig		-4	0	-3	0	-2	-3	-3	Girl caused harm to woman	Not directly related	Girl felt betrayed by woman	Not directly related	Coffee-throwing could be seen as degrading	Girl's action restricted woman's liberty	Girl's action is harmful, degrading, and restricts woman's liberty	-3.3
548	Clifford	You see someone leaving his dog outside in the rain after it dug in the trash.	orig		-3	0	-3	0	0	-2	-2	Dog is exposed to rain, possibly causing discomfort	No direct relation	Owner not being loyal to the dog's well-being	No direct relation	No direct relation	Dog's freedom is restricted	Leaving dog in the rain is moderately immoral	-2.7
549	Effron	Visited a nursing home to cheer up the patients	orig		5	5	5	5	5	5	4	Promotes help and well-being	Does not involve cheating, promotes fairness	Does not involve betrayal, supports loyalty	Respects authority, does not subvert	Does not degrade, upholds sanctity	Enhances liberty, does not oppress	Visiting a nursing home to cheer up patients is highly moral	2.95555552
550	Clifford	You see a staff member talking loudly and interrupting the mayor's speech to the public.	orig		-2	0	0	-3	0	-2	-2	No direct harm, but interrupting is rude	No cheating involved	No betrayal involved	Interrupting a mayor's speech	No sanctity involved	Interrupting someone's freedom of speech	Interrupting a mayor's speech is generally seen as impolite and disrespectful	-2.8
551	Lotto	You are in charge of the Maritime Police. You have received a message that the captain and a seaman of a cargo ship are healthy carriers of a lethal and contagious virus. They do not know that they are infected, and are travelling towards a small gulf where fishermen live. The communications system of the cargo ship is not working and, therefore, they cannot be contacted.You launch a missile and sink the cargo ship to avoid it mooring and thus spreading the virus. You know that the captain and seaman will die, but the fishermen will be saved.	orig		0	0	-3	-3	0	-4	-2	Causing death, but preventing widespread infection	No explicit cheating or fairness issue	Violating loyalty to the crew of the cargo ship	Undermining authority of the cargo ship's captain	No explicit degradation or sanctity issue	Restricting the liberty of the cargo ship's crew	Complex scenario with conflicting moral considerations	-0.46
552	Clifford	You see a girl saying that another girl is too ugly to be a varsity cheerleader.	orig		-4	0	0	-2	-3	-3	-3	Causing emotional harm	No relation	No direct relation	Questioning authority's decision	Demeaning someone's appearance	Limiting someone's freedom to participate	This scenario is not morally acceptable due to causing emotional harm, degrading someone's appearance, and limiting someone's freedom	-2.8
553	Kruepke	About ten years ago, I had a friend who was a musician. She was struggling and wasn't making any money. We had a nice time together and I enjoyed her company. At that time, I was making money, so I decided to give her some money.	orig		4	0	2	0	0	3	4	Helping a friend in need	No direct relation to cheating or fairness	Supporting a friend, no betrayal involved	No subversion of authority involved	No desecration of something sacred	Assisting a friend's liberty to pursue her passion	Helping a friend in need and promoting her liberty	2.04
554	Kruepke	I was dating this guy who was having a nervous breakdown. His mother asked me if I would move in with him, cook for him and make sure he was okay. So I moved in with him for a while.	orig		4	0	3	0	0	2	4	Helped take care of someone in need	No cheating or unfairness involved	Stayed loyal to the boyfriend during tough times	No subversion or disregard for authority	No degradation or violation of sanctity	No oppression, rather supported someone's liberty	Helping and supporting someone during tough times	1.39
555	Effron	Told a colleague in public that she should lose weight	orig		-4	0	0	0	-3	-4	-4	Causing emotional harm	Not applicable	Not applicable	Not applicable	Objectifying colleague	Restricting personal freedom	The scenario is highly immoral	-1.83783776
556	Effron	Gave money to charity	orig		5	5	5	0	5	5	4	Promotes help and positive impact	Does not involve cheating or deceit	Does not involve disloyalty or betrayal	Does not undermine any authority	Does not degrade or taint any sacred values	Supports individual freedom and autonomy	Giving money to charity is morally acceptable and positive	2.6971428
557	Clifford	You see a manager coercing her employees into eating at her brother's diner.	orig		1	0	-3	-2	0	-2	0	No direct harm, but may cause discomfort	No direct cheating or unfairness	Potential betrayal of employee trust	Potential subversion of managerial authority	No direct degradation or sanctity issues	Potential infringement on employee liberty	The scenario is slightly morally questionable	-2.2
558	Mickelberg	Person X is learning French as they always wanted to learn another language.	orig		3	4	0	0	0	4	4	Does not affect others, positive learning endeavor	Person X is not harming others, being honest about their learning	Not relevant, no loyalty is involved	Not relevant, not subverting any authority	Not relevant, not degrading any sanctity	Person X is exercising their freedom to learn	Person X's learning of French is a positive and liberating activity	0.57
559	Cook	Someone states that biological diferences between men and women make men better suited to do certain types of work and women better suited to do other types of work	orig		-3	-4	-2	-3	-3	-4	-4	Implicitly harms women's potential	Violates equality of opportunities	Disregards individual's abilities	Questions the legitimacy of gender equality	Perpetuates stereotypes, undermining dignity	Restricts freedom of career choice	The scenario is not morally acceptable	-1.71
560	Kruepke	Years ago, I shoplifted lipstick from a drugstore. No matter what I did with the lipstick after I stole it, I just wasn’t able to enjoy it. I never took it back though or told anyone.	orig		-1	-4	0	0	0	-2	-3	Minimal harm to drugstore, took a low-value item	Stole an item, violating property rights	No direct loyalty or betrayal involved	No subversion of authority or challenge to social order	No desecration or degradation involved	Limited infringement on others' liberty, but still wrong	Stealing is generally seen as immoral, undermining trust in society	-2.24
561	Kruepke	My father is manic-depressive. He was very difficult to deal with and often made life really hard and everyday situations unpleasant. I talked about him in a really negative way because it was so hard for me to deal with.	orig		-3	0	-2	0	0	2	1	Speaking negatively about father may cause distress	No direct relation to cheating or fairness	May imply disloyalty towards family	No direct relation to subversion or authority	No direct relation to degradation or sanctity	Expressing feelings is a form of liberty	Moral acceptability depends on context and intent	-1.25
562	Kruepke	I was in a parking lot and found a wallet with some money and an ID. I was near a market so I went down to the market to see if I recognized the person on the ID. I found the woman and gave her back her wallet.	orig		5	0	0	0	0	4	4	Helping someone find their lost wallet	No relation to cheating or fairness	No relation to betrayal or loyalty	No relation to subversion or authority	No relation to degradation or sanctity	Returning lost property promotes liberty	Helping someone find their lost wallet is morally acceptable	3.12
563	Kruepke	At a restaurant, when the waitress returned with my change, I was positive she was $10 short. She disagreed but gave me the $10. I told her that if the register was $10 short tonight I'd give it back to her. When I came back the next day, she said I was wrong so gave her the $10.	orig		0	1	0	0	0	0	1	No harm caused, but could have led to mistrust	Accusation of being shortchanged, but returned the money	No loyalty or betrayal involved in this scenario	No challenge to authority or subversion of rules	No desecration or degradation of values or ideals	No restriction of freedom or oppression involved	Returning the money the next day shows goodwill, making the scenario slightly morally acceptable	1.36
564	Lotto	You are having dinner with some friends in a restaurant in the centre of town. Suddenly, a criminal armed with a machine gun enters. He threatens to shoot at a table where a family of six is seated if his request for an outrageous amount of money is not met. You understand that the gunman has mental problems and any attempts to mediate would be in vain.You push a man who is near your table on to the gunman so that he will feel threatened and shoot him. You know that this man will die, but the six people will have time to escape.	orig		-3	0	0	-3	0	-3	-2	Causing harm to one for the benefit of many	No relation to cheating or fairness	No direct relation to betrayal or loyalty	Challenging the authority of the gunman	No direct relation to degradation or sanctity	Restricting the gunman's liberty to save others	Weighing the harm caused against the lives saved	-1.25
565	Mickelberg	Person X played chess with their friend, winning the game.	orig		0	5	0	0	5	5	4	No harm was caused, it was a game	Played by the rules, fair game	No loyalty involved, just a game	No authority figures involved	Playing chess does not degrade anyone	Playing chess is a free choice	Winning a fair game of chess is generally seen as a positive act	0.3
566	Mickelberg	Person X always wins at Trivial Pursuit.	orig		0	-3	0	0	0	-2	-2	Does not directly harm anyone	May involve hidden knowledge	No betrayal of trust in this scenario	Does not subvert any authority	Does not degrade any sacred values	Could limit others' freedom to win	While not extremely immoral, winning consistently at Trivial Pursuit by always knowing the answers could be seen as unfair and limiting others' liberty to win.	0.16
567	Effron	Threw an acquaintance out of his home for disagreeing with him	orig		-4	-3	-4	-3	0	-4	-4	Causing significant distress, -4	No explicit cheating, but unfair, -3	Betrayal of trust, -4	Undermining mutual respect, -3	Not applicable, 0	Restricting personal freedom, -4	A morally unacceptable action	-1.5428572
568	Cook	Someone makes a post on Facebook about how worthless teachers are	orig		-3	0	0	-2	-2	-1	1	Speaking poorly of a group can cause harm	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	Can be seen as undermining teacher authority	May degrade the profession's sanctity	Freedom of speech vs. potential harm to a group	The scenario is not highly moral or immoral, as it represents a complex interplay of various moral norms	-1.85
569	Lotto	You are a fireman who is trying to save some people trapped in a fire which has broken out on the 20th floor of a skyscraper, which is luckily deserted. Six people are trapped in a room on the 21st floor and are already beginning to suffocate from the smoke, while one person is coming down alone from the 19th floor on foot.Activate the automatic closure of the fire doors. You know that this will mean that the person coming down will be unable to escape from the building. He will die, but it will give you time to save the other six.	orig		3	0	2	2	0	3	2	Causing harm to one for the benefit of many	No explicit cheating involved	Duty to building occupants requires door closure	Following fire safety protocols	No explicit degradation involved	Restricting one person's liberty to save many	The scenario involves a moral dilemma, weighing the harm to one versus the benefit of many, with a positive but not extremely high moral acceptability score.	-0.6
570	Effron	Worked in a state park for a summer	orig		3	4	4	4	4	4	4	Minimal harm, promoting nature conservation	No cheating, following park rules and regulations	No betrayal, dedicated to park's mission and visitors	Respect for authority, adhering to park policies	Preserving natural beauty, no degradation involved	No oppression, fostering a love for nature and freedom	Working in a state park is generally moral and positive	1.24137936
571	Mickelberg	Person X broke a friend's expensive vase and refused to pay to replace it.	orig		-4	-4	0	0	0	-3	-3	Person X caused harm by breaking the vase	Person X acted unfairly by not replacing the vase	No direct relevance to loyalty	No direct relevance to authority	No direct relevance to sanctity	Person X restricted the friend's freedom to have an undamaged vase	Person X's actions are immoral due to causing harm and being unfair	-2.34
572	Effron	Volunteered to help renovate a church	orig		5	5	0	5	5	5	4	Helping in renovation reduces harm	Volunteering is an act of fairness	No betrayal or loyalty issues involved	No subversion of authority, helping church officials	Renovation preserves sanctity, does not degrade	Voluntary help does not restrict liberty	Helping in renovation is morally acceptable	2.62857152
573	Effron	Laughed at a little-league player who ran slowly	orig		-3	0	0	0	-2	0	-2	Laughing can cause emotional harm	Did not directly involve cheating or unfairness	No betrayal or loyalty issues involved	Did not involve subversion or authority issues	Laughing could be seen as degrading	No oppression or liberty issues involved	Laughing at a little-league player who ran slowly can be seen as immoral due to potential emotional harm and degradation	-2.16
574	Lotto	A very large man is leading you and a group of five explorers out of an underground cave on the west coast of Scotland. Because of his large size, the man gets stuck in the narrow opening at the mouth of the cave. In a short time it will be high tide, and you will all drown except for the man, who has his head outside of the cave.You use the explosives that you have with you to enlarge the opening to the cave. You know that the man who is stuck will be killed, but you and the other five people will be able to escape safely.	orig		-4	-3	-5	-2	-1	-3	-4	High harm to the large man, helps the explorers	Explosives used to gain unfair advantage	Abandons group member to save self	Uses explosives against cave's natural barrier	Alters natural environment, potentially negatively	Restricts the large man's freedom, ensures explorers' liberty	The scenario is highly immoral due to causing harm, betrayal, and oppression	-1.22
575	Kruepke	Three years ago I had a call from a friend of mine who was overseas. His nephew was coming over to the States to go to medical school near me. So when his nephew arrived, I just kind of stopped my life for a few days and did things to make this kid's life work.	orig		4	0	4	0	0	0	4	Helped the nephew adjust to a new environment	No elements of cheating or unfairness	Remained loyal to a friend by helping the nephew	No elements of subversion or authority	No elements of degradation or sanctity	No elements of oppression or liberty restriction	Helping a friend's nephew adjust to a new environment is generally seen as a moral act	2.32
576	Mickelberg	Person X left their children alone in the car for two hours while they went to have a drink on a hot day.	orig		-5	0	0	-4	-3	-4	-4	Potential risk to children's safety	Not directly related to cheating or fairness	Not directly related to betrayal or loyalty	Ignoring societal and legal authority	Potential disregard for the sanctity of childcare	Restricting children's freedom and personal liberty	Leaving children unattended in a hot car is considered highly immoral	-3.56
577	Mickelberg	Person X did not meet their sales targets for the month at work.	orig		0	0	-5	-1	-5	-2	1	Person X did not meet sales targets, but no harm inflicted on others	Sales are typically based on individual performance and market conditions	Not applicable, as there is no direct relationship involved	Did not go against company policies or supervisor's instructions	Not applicable, as this is work-related, not moral or religious	Not meeting sales targets does not limit anyone's freedom or rights	Person X not meeting their sales target has little to no moral implications	0.06
578	Lotto	You are in charge of a medical team which is taking part in an expedition that will be isolated in the Sahara Desert. In the group, there is a family of five people who suffer from a serious genetic disease which causes vitamin deficiency. You have no drugs with you that can guarantee their survival, and rescue will not arrive in time.You remove the kidney of one of the group to extract the indispensable vitamins. You know that this person will die, but the five family members will be saved.	orig		-3	-4	-4	0	-3	-4	-4	High harm to one, helps five	Violates equality, but necessary for survival	Betrayal of the individual for the group	No clear authority to subvert	Violates bodily sanctity	Violates individual liberty for collective survival	Highly immoral due to harm, betrayal, and violation of liberty and sanctity	-0.8
579	Kruepke	I was at an office party and the company had decorated a room for a fancy dinner. At the end of the night my friend said that we could take the candles that were on the table. She didn't know that we weren't supposed to take the candles, so we returned them.	orig		5	5	5	5	5	5	4	No harm was caused, as candles were returned	No cheating occurred, as they returned the candles	No betrayal, as they acted according to company rules	They respected authority by returning the candles	No sanctity was violated, as candles were taken temporarily	No oppression, as they didn't force anyone to do anything	Returning the candles after realizing the mistake	1.86
580	Effron	Closed the elevator door before anyone else could get on	orig		0	0	-1	0	-1	1	1	No direct harm is caused	No rules or expectations are violated	No loyalty is involved in this scenario	No authority figures or structures are affected	No defilement of anything sacred takes place	One's freedom is not restricted by the action	The action is slightly morally acceptable	-1.3473684
581	Kruepke	There is a stray cat that comes to my door sometimes. I have been feeding the cat and noticed she became very ill. I ordered some antibiotics from the vet and gave them to her.	orig		5	0	0	1	0	3	3	Helping a stray cat,	No direct relation to fairness,	No direct relation to loyalty,	Minor subversion of veterinary authority by self-medicating,	No direct relation to sanctity,	No oppression, rather promoting freedom for the cat,	Feeding and nursing a sick stray cat is generally acceptable and humane, although self-medicating may raise some concerns.	2.27
582	Mickelberg	Person X took performance-enhancing drugs in order to win a race.	orig		-2	-5	-3	-4	0	-3	-3	No direct harm to others, but sets unrealistic standards	Clear violation of race rules and ethical sportsmanship	No direct loyalty issues, but undermines trust in sports	Ignores authority of anti-doping regulations	Does not degrade any sacred values or institutions	Individual choice, but infringes on fair competition	Using performance-enhancing drugs to win a race is generally viewed as morally unacceptable due to its negative impact on fairness and trust in sports.	-2.64
583	Lotto	You are the head zoo keeper and you are doing the rounds with another keeper. You realise that one of the cleaners has left the lions’ cage open by mistake. You see that a lion is coming towards the open gate and you do not have time to close it. There are three visitors right in front of the gate.You push the keeper next to you against the gate to stop the lion getting out. You know that the man will be attacked and killed, but the three visitors will be saved.	orig		-5	-3	-5	-2	0	-4	-3	Promoting help, -5 as extreme harm	Not cheating, but a negative outcome	Betraying coworker to save others	Subverting cleaner's mistake	No direct relation to sanctity	Limiting coworker's liberty to save others	Moral acceptability depends on the value of human life over coworker's	-1.47
584	Mickelberg	Person X cheated in a card game while playing with a group of their friends.	orig		0	-5	-4	0	0	-3	-3	No direct harm to others' property	Clear act of cheating, undermining fairness	Betrayal of friends' trust	No subversion of authority in this context	No desecration of a sacred or valued concept	No restriction of freedom, but an abuse of it	Cheating in a card game with friends is generally viewed as unacceptable	-1.91
585	Kruepke	I remember a couple of times my husband and I have brought backpacks with sandwiches and snacks into the movie theater. We do it out of necessity because we don’t have a lot of money and cannot afford theater food. So as soon as the movie starts we take out our snack.	orig		0	-3	0	-2	0	1	1	No harm is intended	Bypassing payment for theater food	Not relevant	Bending theater rules	Food consumption not seen as sacred	Economic necessity overrules etiquette	Motivated by financial need	-0.12
586	Kruepke	I had a cat for two years before someone moved in with me. He didn't like the cat and he wanted me to get rid of it. So I left the cat at a friend's house who didn't even take care of the cat.	orig		-4	-3	-5	-2	-4	-3	-4	Causing harm to the cat, score: -4	Not being fair to the cat, score: -3	Betraying the cat, score: -5	Not following friend's expectations, score: -2	Not respecting the cat's well-being, score: -4	Limiting the cat's freedom, score: -3	Overall, the scenario is extremely immoral (-4)	-1.4
587	Clifford	You see a boy telling a woman that she looks just like her overweight bulldog.	orig		-2	0	0	0	-3	0	-2	No direct harm, but could be hurtful	No relation to cheating or fairness	No relation to betrayal or loyalty	No relation to subversion or authority	Could be seen as degrading	No relation to oppression or liberty	The scenario is not highly moral due to potential hurt and degradation	-3.3
588	Effron	Always remembers the birthdays of friends and relatives	orig		5	5	5	5	5	5	4	Does not harm anyone; rather a positive act	Does not involve cheating or unfairness	Does not involve betrayal or disloyalty	Does not subvert any authority	Does not degrade or violate any sanctity	Does not oppress or restrict liberty	Remembering birthdays is a positive, helpful, and loyal action that respects fairness, authority, sanctity, and liberty	1.225
589	Mickelberg	Person X helped a neighbor move a piano into his second floor apartment.	orig		5	0	0	0	0	0	4	Help, score is 5	No cheating involved, score is 0	No betrayal, score is 0	No subversion, score is 0	No degradation, score is 0	No oppression, score is 0	Helping a neighbor is morally acceptable, score is 4	2.35
590	Clifford	You see a teaching assistant talking back to the teacher in front of the classrom.	orig		0	0	-3	-4	0	-2	-3	Does not directly harm anyone	Not directly related to cheating	Could imply disloyalty to the teacher	Directly challenges the teacher's authority	Does not involve sanctity	Could be seen as limiting the teacher's liberty	The TA's action challenges the teacher's authority and could be seen as disloyal	-2.5
591	Lotto	A car accident causes a devastating explosion inside a long tunnel. You and another four survivors are finding your way through the debris to get out of the tunnel. Because of structural damage, a high tension electric cable has snapped and is beginning to swing towards you. The asphalt is soaked with petrol. In the opposite direction you see another survivor coming towards you.You use a rubber-soled shoe to divert the electric cable in the opposite direction. You know that the person coming towards you will be electrocuted, but you and the other four will be unhurt.	orig		-3	0	0	0	0	2	1	Causing harm to one for the sake of many	No cheating or unfairness involved	No betrayal or loyalty conflict	No subversion or authority conflict	No degradation or sanctity violation	Taking liberty to ensure group safety	Moral acceptability depends on the value of human life over property	-1.26
592	Clifford	You see a coach celebrating with the opposing team's players who just won the game.	orig		0	0	-2	0	0	0	1	Does not apply directly	Does not apply directly	Celebrating with the opposing team might imply less loyalty	Does not apply directly	Does not apply directly	Does not restrict individual freedom	The coach celebrating with the opposing team might imply less loyalty, but it does not cause harm, cheating, subversion, degradation, or oppression.	-1.8
593	Clifford	You see a runner taking a shortcut on the course during the marathon in order to win.	orig		-3	-5	0	-3	0	-4	-3	No direct harm but violates rules	Directly violates fairness norm	Not applicable	Undermines event authority	Doesn't significantly impact sanctity	Infringes on others' freedom to compete fairly	Taking a shortcut in a marathon for personal gain is generally seen as unfair and against the rules, reducing its moral acceptability	-3.4
594	Effron	Intentionally swerved his car to hit a squirrel	orig		-5	0	0	0	0	-3	-3	Intentionally caused harm to an animal	Did not directly cheat or act unfairly towards anyone	No betrayal or loyalty issues involved	Did not subvert any authority	Did not degrade any sacred values or beliefs	Infringed upon the liberty of an innocent animal	Intentionally hitting a squirrel with a car is considered immoral	-2.8
595	Clifford	You see a man blocking his wife from leaving home or interacting with others.	orig		-5	0	-5	-5	-3	-5	-4	Husband causing potential harm	Not applicable	Husband acting against wife's interests	Husband undermining wife's autonomy	Possible degradation of marriage norms	Husband restricting wife's freedom	The scenario is highly immoral	-3.3
596	Mickelberg	Person X kicked their pet dog hard in the head because it didn't come when called.	orig		-5	0	-3	0	-4	-3	-4	Person X caused harm to their pet dog	No direct relation to cheating or fairness	Person X breached loyalty to their pet dog	No direct relation to subversion or authority	Person X degraded the sanctity of the human-animal bond	Person X restricted the liberty of their pet dog	Kicking a pet is considered immoral behavior	-3.31
597	Mickelberg	Person X shook a crying baby so hard while babysitting that it suffered brain damage and nearly died.	orig		-5	0	-3	0	0	-4	-4	Inflicted severe harm, -5 score	Did not directly relate to cheating or fairness	Betrayed trust of the parents, -3 score	Did not directly relate to subversion or authority	Did not directly relate to degradation or sanctity	Infringed on baby's liberty, -4 score	Shaking a crying baby so hard that it suffers brain damage is extremely immoral	-3.55
598	Clifford	You see a man quickly canceling a blind date as soon as he sees the woman.	orig		0	0	0	0	0	4	4	No direct harm caused	Individual's personal choice	No prior commitment or loyalty breached	No challenge to established authority	No desecration of sacred values or symbols	Personal freedom to choose associates	The man is exercising his freedom to choose his date	-3
599	Clifford	You see a star player ignoring her coach's order to come to the bench during a game.	orig		1	0	-3	-4	0	0	-2	No direct harm, but could disrupt team dynamics	No cheating involved, rules are not being broken	Potential betrayal of coach's trust	Subverting coach's authority	Not applicable	No oppression involved	The star player's action could be seen as undermining the coach's authority and potentially betraying trust, which are negative actions, hence the moral acceptability score is negative	-2.1
600	Kruepke	A few years ago I decided to move in with the man who became my first husband. When I told my mom she cried. I wanted to be honest, but she was upset that we were moving in together.	orig		-2	0	-1	-3	-3	4	2	Living together before marriage can be seen as reducing commitment	Not applicable, as moving in together is a mutual decision	May imply a lack of commitment, but not necessarily betrayal	Could be seen as challenging traditional norms of cohabitation	Living together before marriage may be seen as lowering the sanctity of marriage	Couples should be free to make their own decisions about living arrangements	The scenario is moderately morally acceptable, as it promotes personal liberty and autonomy	1.05
601	Kruepke	I used to rollerblade to work everyday. On my way to work I used to pass by this homeless woman named Lulu. Sometimes on my way home from work, I would sit and talk with her to keep her company.	orig		4	0	0	0	0	3	3	Helping by providing company	Not directly related	Not directly related	Not directly related	Doesn't degrade any sanctities	Promotes liberty by showing care for the homeless	Interacting with and helping the homeless promotes liberty	2.44
602	Effron	Turned the lights off in a parked car	orig		0	1	1	0	5	5	4	No harm is caused to self or others	No cheating or unfairness involved	No betrayal or loyalty issues	No subversion of authority or rules broken	No degradation or sanctity violation	Individual liberty is not restricted	Turning off the lights in a parked car does not cause harm, cheating, betrayal, or oppression, and maintains sanctity and liberty	0.4
603	Kruepke	I applied for a position at this company. As it turned out the pay was not very good at all for the amount of work that I was doing. So I lied and told the manger that I had another job offer and I would take it unless I got a raise.	orig		-2	-4	-3	-3	0	-2	-3	No direct harm to others, but could harm the company	Lied about having another job offer	Betrayed the company's trust	Subverted the manager's authority	Did not degrade any sacred values	Attempted to gain more freedom at the expense of the company	The scenario is not highly moral due to the lying and betrayal involved	-1.31
