id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
597	Mickelberg	Person X shook a crying baby so hard while babysitting that it suffered brain damage and nearly died.	orig		10.0	7.0	10.0	1.0	-4.0	The baby is defenseless and highly susceptible to harm.	Shaking a baby hard suggests some degree of intent.	The baby suffered brain damage and nearly died.	No help was provided in this scenario.	High vulnerability, significant intentionality, maximum harm, no help.	Person X	Person X is likely an adult and responsible for babysitting.	The crying baby	The baby is highly vulnerable due to its age and defenselessness.	-3.55	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is likely an adult and responsible for babysitting. 3. Identify the patient: The crying baby. 4. Assumption about the patient: The baby is highly vulnerable due to its age and defenselessness. 5. Assess the vulnerability of the patient: The baby is highly vulnerable (score of 9-10). 6. Assess the intentionality of the action: Shaking a baby hard enough to cause brain damage suggests some degree of intent, though it may not be premeditated (score of 6-8). 7. Assess the harm caused: The baby suffered brain damage and nearly died, indicating maximum harm (score of 9-10). 8. Assess the help caused: No help was provided in this scenario (score of 0-2). 9. Assess the moral acceptability: Given the high vulnerability, significant intentionality, and maximum harm with no help, the scenario is extremely immoral (score of -4).	test	-2.9596849623122865	-1.8708937168121338
598	Clifford	You see a man quickly canceling a blind date as soon as he sees the woman.	orig		7.0	7.0	4.0	1.0	-2.0	She is an average adult, so medium-high vulnerability	The man made a quick, deliberate decision	The woman might feel emotionally hurt	The action did not provide any help	The action is somewhat hurtful and lacks justification	The man who canceled the blind date	He might have judged the woman superficially	The woman who was supposed to be on the blind date	She might feel rejected or hurt	-3.0	1. Identify the agent: The man who canceled the blind date. 2. Assumption about the agent: He might have judged the woman based on appearance or other superficial factors. 3. Identify the patient: The woman who was supposed to be on the blind date. 4. Assumption about the patient: She might feel rejected or hurt by the sudden cancellation. 5. Assess the vulnerability of the patient: The woman is an average adult, so medium-high vulnerability. 6. Assess the intentionality of the action: The man likely made a quick, deliberate decision, so medium-high intentionality. 7. Assess the harm caused: The woman might feel emotionally hurt, so medium-low harm. 8. Assess the help caused: The action did not provide any help, so minimum help. 9. Determine the moral acceptability: The action is somewhat hurtful and lacks justification, so it leans towards being immoral.	test	-1.3598559383747895	-1.595193862915039
599	Clifford	You see a star player ignoring her coach's order to come to the bench during a game.	orig		6.0	7.0	5.0	0.0	-2.0	The coach has authority but can be undermined	The player likely made a deliberate choice	Undermines authority and team discipline	No help is provided by ignoring the coach	Action is somewhat immoral due to harm and no help	The star player	The player is aware of the coach's authority	The coach	The coach is responsible for team management and discipline	-2.1	1. Identify the agent: The star player. 2. Assumption about the agent: The player is aware of the coach's authority. 3. Identify the patient: The coach. 4. Assumption about the patient: The coach is responsible for team management and discipline. 5. Assess vulnerability: The coach is an adult with authority but can be undermined. 6. Assess intentionality: The player likely made a deliberate choice to ignore the coach. 7. Assess harm: Ignoring the coach can undermine authority and team discipline. 8. Assess help: No help is provided by ignoring the coach. 9. Determine moral acceptability: Weighing the harm and lack of help, the action seems somewhat immoral.	test	-2.157126059333438	-2.126990795135498
600	Kruepke	A few years ago I decided to move in with the man who became my first husband. When I told my mom she cried. I wanted to be honest, but she was upset that we were moving in together.	orig		7.0	8.0	4.0	1.0	0.0	The mother is emotionally vulnerable but not defenseless	The decision to move in was likely planned and deliberate	The harm is emotional distress, not physical or severe	The action does not provide direct help to the mother	Balancing emotional harm with personal decision rights	The person who decided to move in with her future husband	The agent is an adult capable of making independent decisions	The mother	The mother is emotionally affected by her child's decision	1.05	1. Identify the agent: The person who decided to move in with her future husband. 2. Assumption about the agent: The agent is an adult capable of making independent decisions. 3. Identify the patient: The mother who was affected by the decision. 4. Assumption about the patient: The mother is emotionally affected by her child's decision. 5. Assess vulnerability: The mother is emotionally vulnerable but not defenseless. 6. Assess intentionality: The decision to move in was likely planned and deliberate. 7. Assess harm: The harm is emotional distress, not physical or severe. 8. Assess help: The action does not provide direct help to the mother. 9. Assess moral acceptability: Balancing the emotional harm to the mother with the agent's right to make personal decisions.	test	-1.507921039909283	-1.749955654144287
601	Kruepke	I used to rollerblade to work everyday. On my way to work I used to pass by this homeless woman named Lulu. Sometimes on my way home from work, I would sit and talk with her to keep her company.	orig		9.0	7.0	0.0	6.0	3.0	Lulu is homeless and thus highly vulnerable	The agent intentionally talks to Lulu	No harm is caused	Provides companionship, a substantial help	The agent's actions are morally positive	The person who rollerblades to work	The agent is compassionate and caring	Lulu, the homeless woman	Lulu is vulnerable due to homelessness	2.44	1. Identify the agent: The person who rollerblades to work and talks to Lulu. 2. Assumption about the agent: The agent is likely a compassionate individual. 3. Identify the patient: Lulu, the homeless woman. 4. Assumption about the patient: Lulu is vulnerable due to her homelessness. 5. Assess vulnerability: Lulu is highly vulnerable due to her homelessness. 6. Assess intentionality: The agent's actions are intentional, involving thought and planning. 7. Assess harm: No harm is caused by the agent's actions. 8. Assess help: The agent provides companionship, which is substantial but not critical assistance. 9. Assess moral acceptability: The scenario is morally positive due to the agent's helpful actions.	test	1.9083421283758577	1.8958816528320312
602	Effron	Turned the lights off in a parked car	orig		1.0	8.0	0.0	4.0	3.0	The car is an inanimate object.	Turning off the lights is a deliberate action.	No harm is caused to the car.	Helps conserve the car's battery.	Intentional, no harm, minor help.	The driver or owner of the car	Assumed to be the person responsible for the car	The car	Assumed to be an inanimate object	0.4	1. Identify the agent: The person who turned off the lights in the parked car. 2. Assumption about the agent: Likely the driver or owner of the car. 3. Identify the patient: The car or its electrical system. 4. Assumption about the patient: The car is an inanimate object. 5. Assess vulnerability: The car is an inanimate object, so it has minimal vulnerability. 6. Assess intentionality: Turning off the lights is likely a deliberate action. 7. Assess harm: Turning off the lights causes no harm to the car. 8. Assess help: Turning off the lights can help conserve the car's battery. 9. Assess moral acceptability: Since the action is intentional, causes no harm, and provides minor help, it is morally acceptable.	test	0.053992601398929196	-0.5620718002319336
603	Kruepke	I applied for a position at this company. As it turned out the pay was not very good at all for the amount of work that I was doing. So I lied and told the manger that I had another job offer and I would take it unless I got a raise.	orig		4.0	8.0	4.0	4.0	-1.0	The manager/company is not highly vulnerable	The action was premeditated and deliberate	Minor harm related to trust and finances	Minor help leading to better compensation	Minor harm outweighs minor help slightly	The person who applied for the job	The agent is seeking better compensation	The manager or the company	The patient is responsible for employee compensation	-1.31	1. Identify the agent: The person who applied for the job and lied to the manager. 2. Assumption about the agent: The agent is someone seeking better compensation for their work. 3. Identify the patient: The manager or the company. 4. Assumption about the patient: The patient is responsible for making decisions about employee compensation. 5. Assess the vulnerability of the patient: The manager or company is not highly vulnerable but can be affected by deceit. 6. Assess the intentionality of the action: The action was premeditated and deliberate. 7. Assess the harm caused: The harm is minor, primarily related to trust and potential financial implications. 8. Assess the help caused: The help is minor, potentially leading to better compensation for the agent. 9. Determine the moral acceptability: Weighing the minor harm against the minor help, the action leans towards being slightly immoral.	test	-0.8835559762585415	-0.8916504383087158
604	Lotto	You are travelling in Yemen. You and another six tourists are taken hostage by a group of terrorists. The terrorists think that one of you is a spy, even though this is not true. You are held hostage for days. One of the terrorists comes to you and reveals that they intend to kill you all at sunset.While he is resting, you kill one of the tourists in the group so that you can tell the terrorists that you identified and eliminated the spy. The person will die, but you and the other five will be freed.	orig		7.0	9.0	10.0	10.0	-2.0	The tourist is a typical adult	The action was deliberate and planned	The action resulted in the death of the tourist	The action potentially saved the lives of the other hostages	Balancing extreme harm against saving multiple lives	The person who killed the tourist	The agent is acting under extreme duress and fear for their life	The tourist who was killed	The patient is an innocent person, not a spy	-1.36	1. Identify the agent: The person who killed the tourist. 2. Assumption about the agent: The agent is acting under extreme duress and fear for their life. 3. Identify the patient: The tourist who was killed. 4. Assumption about the patient: The patient is an innocent person, not a spy. 5. Assess the vulnerability of the patient: The tourist is a typical adult, making them medium-high vulnerable. 6. Assess the intentionality of the action: The action was deliberate and planned to save the others. 7. Assess the harm caused: The action resulted in the death of the tourist, which is maximum harm. 8. Assess the help caused: The action potentially saved the lives of the other hostages, which is maximum help. 9. Assess the moral acceptability: Balancing the extreme harm against the potential saving of multiple lives.	test	-0.6086953446238851	-1.3722779750823975
605	Kruepke	About two months ago, I was in the grocery store at the cash register. This elderly lady left her pocketbook on the counter. So I picked up her pocketbook and called her back to come and get it.	orig		9.0	7.0	0.0	8.0	4.0	Elderly individuals are generally more vulnerable	The action was deliberate and thoughtful	No harm was caused	The action provided significant help by preventing potential loss	Highly moral due to the help provided and lack of harm	The person who picked up the pocketbook	Likely a responsible and considerate individual	The elderly lady	Likely forgetful and possibly vulnerable due to age	3.0	1. Identify the agent: The person who picked up the pocketbook. 2. Assumption about the agent: Likely a responsible and considerate individual. 3. Identify the patient: The elderly lady who left her pocketbook. 4. Assumption about the patient: Likely forgetful and possibly vulnerable due to age. 5. Assess vulnerability: Elderly individuals are generally more vulnerable. 6. Assess intentionality: The action was deliberate and thoughtful. 7. Assess harm: No harm was caused. 8. Assess help: The action provided significant help by preventing potential loss. 9. Assess moral acceptability: The action was highly moral due to the help provided and lack of harm.	test	2.5825937140780733	2.603017807006836
606	Clifford	You see a woman slapping another woman who she is arguing with in the parking lot.	orig		7.0	7.0	6.0	0.0	-3.0	An average adult, susceptible to harm	The action seems deliberate	Physical assault causing significant harm	No help provided	Harmful and intentional action	The woman who slapped the other woman	She was likely upset or angry	The woman who was slapped	She was likely involved in the argument	-2.8	1. Identify the agent: The woman who slapped the other woman. 2. Assumption about the agent: Likely upset or angry, possibly feeling provoked. 3. Identify the patient: The woman who was slapped. 4. Assumption about the patient: Likely involved in the argument, possibly vulnerable to physical harm. 5. Assess vulnerability: The patient is an average adult, so medium-high vulnerability. 6. Assess intentionality: The action seems deliberate, likely with some degree of thought. 7. Assess harm: Physical assault, causing significant but not extreme harm. 8. Assess help: No help provided in this scenario. 9. Assess moral acceptability: Given the harm and intentionality, the action is morally unacceptable.	test	-2.3592621775059235	-2.109602451324463
607	Effron	Refused to help a classmate with a homework assignment	orig		6.0	7.0	4.0	0.0	-2.0	The classmate is somewhat vulnerable, needing help	Refusal to help is likely intentional	Causes minor harm like stress or lower grades	No help was provided	Intentional refusal, minor harm, no help	The student who refused to help	The student is likely a peer in the same class	The classmate who needed help	The classmate is likely a peer needing assistance	-0.425	1. Identify the agent: The person who refused to help. 2. Assumption about the agent: Likely a student. 3. Identify the patient: The classmate who needed help. 4. Assumption about the patient: Likely a student needing assistance. 5. Assess vulnerability: The classmate is an average student, somewhat vulnerable. 6. Assess intentionality: Refusal to help is likely intentional, with some thought. 7. Assess harm: Refusal to help causes minor harm, like stress or lower grades. 8. Assess help: No help was provided. 9. Assess moral acceptability: Weighing vulnerability, intentionality, harm, and help.	test	-1.8259858361934245	-2.0219950675964355
608	Kruepke	One time my brother got caught stealing something when I was with him.  My parents asked me what happened, so I had to rat on him and tell them the truth. He got in a lot of trouble.	orig		7.0	7.0	6.0	7.0	0.0	The store/person is moderately vulnerable	The action was likely premeditated	Theft causes significant harm	Telling the truth provided substantial help	Balancing harm of theft and help of truth-telling	My brother	He acted with some level of intent	The store or person from whom the item was stolen	Moderately vulnerable, likely a typical adult	0.87	1. Identify the agent: The brother who stole something. 2. Assumption about the agent: The brother acted with some level of intent. 3. Identify the patient: The entity from which the item was stolen (e.g., a store or person). 4. Assumption about the patient: The patient is likely a store or person, moderately vulnerable. 5. Assess vulnerability: The store or person is moderately vulnerable, likely a typical adult. 6. Assess intentionality: The brother's action was likely premeditated to some extent. 7. Assess harm: The harm caused was significant but not extreme, as it involved theft. 8. Assess help: Telling the truth provided substantial help to the parents and possibly the store. 9. Assess moral acceptability: Balancing the harm of theft and the help of truth-telling.	test	0.0006183724518310507	0.3886975049972534
609	Clifford	You see a girl repeatedly interrupting her teacher as he explains a new concept.	orig		7.0	7.0	4.0	1.0	-2.0	The teacher has some authority but can be affected.	Repeated interruptions suggest some thought.	Interruptions disrupt but are not severely harmful.	Interruptions generally do not provide help.	Slightly immoral due to disruption and intentionality.	The girl	The girl is likely a student.	The teacher	The teacher is an adult and a professional.	-2.0	1. Identify the agent: The girl is the one performing the action. 2. Assumption about the agent: The girl is likely a student. 3. Identify the patient: The teacher is the one being interrupted. 4. Assumption about the patient: The teacher is an adult and a professional. 5. Assess the vulnerability of the patient: The teacher is an adult with some authority, so medium-high vulnerability. 6. Assess the intentionality of the action: Repeated interruptions suggest some degree of thought, so medium-high intentionality. 7. Assess the harm caused: Interruptions can disrupt the class but are not severely harmful, so medium-low harm. 8. Assess the help caused: Interruptions generally do not provide help, so minimum help. 9. Assess the moral acceptability: Considering the vulnerability, intentionality, harm, and help, the action is slightly immoral.	test	-1.3598559383747895	-1.595193862915039
610	Mickelberg	Person X ordered a take-away coffee but spilled it when they tried to take a sip.	orig		1.0	1.0	3.0	0.0	0.0	The coffee is an inanimate object.	The action was likely accidental.	Spilling coffee causes minor harm.	No help was provided.	Low harm and accidental nature make it morally neutral.	Person X	Person X is assumed to be an adult.	The coffee	The coffee is an inanimate object.	0.08	1. Identify the agent: Person X is the one who ordered and spilled the coffee. 2. Assumption about the agent: Person X is assumed to be an adult. 3. Identify the patient: The patient is the coffee that was spilled. 4. Assumption about the patient: The coffee is an inanimate object. 5. Assess vulnerability: The coffee, being an inanimate object, has minimal vulnerability. 6. Assess intentionality: The action of spilling the coffee was likely accidental. 7. Assess harm: Spilling coffee causes minor harm, such as a mess or potential minor burns. 8. Assess help: No help was provided in this scenario. 9. Assess moral acceptability: Given the low harm and accidental nature, the scenario is morally neutral.	test	-1.2514755286840877	-0.5416548252105713
611	Effron	Helped an elderly woman put in storm windows	orig		9.0	8.0	0.0	7.0	4.0	Elderly individuals are generally more vulnerable	Helping with storm windows involves planning and deliberate action	No harm was caused in this scenario	Providing substantial assistance to someone who may struggle with physical tasks	High moral value due to significant help and no harm	A younger, able-bodied individual	The agent is likely physically capable and willing to help	The elderly woman	The patient is likely physically limited due to age	3.1304348	1. Identify the agent: The person who helped the elderly woman. 2. Assumption about the agent: Likely a younger, able-bodied individual. 3. Identify the patient: The elderly woman. 4. Assumption about the patient: Likely has limited physical ability due to age. 5. Assess vulnerability: Elderly individuals are generally more vulnerable. 6. Assess intentionality: Helping with storm windows likely involves planning and deliberate action. 7. Assess harm: No harm caused in this scenario. 8. Assess help: Providing substantial assistance to someone who may struggle with physical tasks. 9. Determine moral acceptability: High moral value due to significant help and no harm.	test	2.0974028196924723	2.184931755065918
612	Kruepke	I found a wallet with a fifty-dollar bill in it. I found a phone number to call and contacted the woman whose wallet it was. She was very appreciative and came to my house to pick it up.	orig		7.0	8.0	0.0	7.0	4.0	Average resilience, some stress from losing wallet	Deliberate and planned action	No harm was caused	Substantial assistance by returning the wallet	Highly moral action of returning lost property	The person who found the wallet	The agent is a responsible and honest individual	The woman who lost the wallet	The patient is an average adult who misplaced her wallet	2.9	1. Identify the agent: The person who found the wallet. 2. Assumption about the agent: The agent is a responsible and honest individual. 3. Identify the patient: The woman who lost the wallet. 4. Assumption about the patient: The patient is an average adult who misplaced her wallet. 5. Assess the vulnerability of the patient: The woman is of average resilience but could be stressed about losing her wallet. 6. Assess the intentionality of the action: The action of returning the wallet was deliberate and planned. 7. Assess the harm caused: No harm was caused in this scenario. 8. Assess the help provided: Returning the wallet provided substantial assistance to the woman. 9. Determine the moral acceptability: The action was highly moral as it involved returning lost property.	test	1.839394609757417	2.087888479232788
613	Kruepke	My friend's family had a clubhouse in the back of their yard infested with rats. They asked my friend and I if we would kill the rats with shovels. So we went and killed all the baby rats with shovels.	orig		10.0	9.0	10.0	6.0	-2.0	Baby rats are defenseless and highly susceptible to harm.	The action was deliberate and planned.	The action resulted in the death of the baby rats.	The action helped by removing a pest infestation.	High harm to vulnerable beings, but some help to humans.	My friend and I	The agents are the ones who performed the action.	Baby rats	The patients are the ones affected by the action.	-1.38	1. Identify the agent: The agent is the person who performed the action. 2. Identify the patient: The patient is the entity affected by the action. 3. Assess the vulnerability of the patient: Consider the nature and state of the patient. 4. Assess the intentionality of the action: Determine the level of planning and deliberation involved. 5. Assess the harm caused: Evaluate the extent of damage or harm inflicted. 6. Assess the help caused: Evaluate the extent of assistance or protection provided. 7. Determine the moral acceptability: Based on the previous assessments, evaluate the overall moral standing of the scenario.	test	-1.570186201125734	-1.0790166854858398
614	Effron	Volunteered several hours a week at a runaway shelter	orig		9.0	9.0	0.0	9.0	4.0	Runaway shelter residents are highly vulnerable.	Volunteering is a deliberate and planned action.	Volunteering at a shelter does not cause harm.	Volunteering provides substantial to critical assistance.	High moral value due to significant help and no harm.	The person who volunteered	Likely a compassionate individual	Runaway shelter residents	Likely vulnerable individuals	3.04444448	1. Identify the agent: The person who volunteered. 2. Assumption about the agent: Likely a compassionate individual. 3. Identify the patient: The runaway shelter residents. 4. Assumption about the patient: Likely vulnerable individuals. 5. Assess vulnerability: Runaway shelter residents are highly vulnerable. 6. Assess intentionality: Volunteering is a deliberate and planned action. 7. Assess harm: Volunteering at a shelter does not cause harm. 8. Assess help: Volunteering provides substantial to critical assistance. 9. Assess moral acceptability: High moral value due to significant help and no harm.	test	2.6235893038601943	2.827549934387207
615	Clifford	You see a man searching through the trash to find women's discarded underwear.	orig		8.0	9.0	5.0	0.0	-3.0	Women are unaware and cannot defend against this action	The man is deliberately searching	Psychological harm if women knew, no physical harm	No help provided in this scenario	High intentionality and potential psychological harm	The man searching through the trash	He has a specific motive, possibly deviant or desperate	Women whose discarded underwear is being searched for	Unaware of the action, potentially violated if they knew	-3.0	1. Identify the agent: The man searching through the trash. 2. Assumption about the agent: Likely has a specific motive, possibly deviant or desperate. 3. Identify the patient: Women whose discarded underwear is being searched for. 4. Assumption about the patient: Unaware of the action, potentially violated if they knew. 5. Assess vulnerability: Women are unaware and cannot defend against this action, making them vulnerable. 6. Assess intentionality: The man is deliberately searching, indicating a high level of intentionality. 7. Assess harm: Psychological harm if women knew, but no physical harm. 8. Assess help: No help provided in this scenario. 9. Assess moral acceptability: High intentionality and potential for psychological harm make this scenario morally unacceptable.	test	-2.19524805246737	-2.544003486633301
616	Effron	Kicked his dog for eating cheese on the edge of the table	orig		9.0	8.0	7.0	0.0	-4.0	Dogs are generally defenseless against human actions	Kicking the dog seems deliberate, not accidental	Kicking a dog can cause significant physical and emotional harm	Kicking the dog does not provide any help	High vulnerability, high intentionality, significant harm, no help	The person who kicked the dog	Likely the dog's owner or someone responsible for the dog	The dog	The dog is a typical pet, likely not aggressive	-2.8	1. Identify the agent: The person who kicked the dog. 2. Assumption about the agent: Likely the dog's owner or someone responsible for the dog. 3. Identify the patient: The dog that was kicked. 4. Assumption about the patient: The dog is a typical pet, likely not aggressive. 5. Assess the dog's vulnerability: Dogs are generally defenseless against human actions. 6. Assess the intentionality: Kicking the dog seems deliberate, not accidental. 7. Assess the harm: Kicking a dog can cause significant physical and emotional harm. 8. Assess the help: Kicking the dog does not provide any help. 9. Determine moral acceptability: High vulnerability, high intentionality, significant harm, no help; thus, the action is highly immoral.	test	-2.5804592922453753	-2.468526840209961
617	Kruepke	When I was in my twenties I met a girl who had run away from home. She was 16 and we became very good friends. I convinced her eventually to go back home to her family.	orig		9.0	7.0	0.0	9.0	4.0	A 16-year-old runaway is highly vulnerable	Convincing her to go back home required thought and planning	No harm was caused by the action	The action provided critical assistance by reuniting her with family	High help, no harm, highly moral action	The person in their twenties	They were well-meaning and responsible	The 16-year-old girl	She was vulnerable and in need of guidance	2.45	1. Identify the agent: The person who took action in the scenario. 2. Identify the assumption about the agent: Consider the agent's intentions and characteristics. 3. Identify the patient: The person affected by the action. 4. Identify the assumption about the patient: Consider the patient's characteristics and situation. 5. Assess the patient's vulnerability: Evaluate the patient's susceptibility to harm. 6. Assess the intentionality of the action: Determine how deliberate the action was. 7. Assess the harm caused: Evaluate the negative impact of the action. 8. Assess the help caused: Evaluate the positive impact of the action. 9. Determine the moral acceptability: Based on the assessments of vulnerability, intentionality, harm, and help.	test	2.919719506929181	2.9565861225128174
618	Cook	Someone makes an obscene gesture in a cemetery for military veterans	orig		6.0	8.0	5.0	0.0	-3.0	Emotional harm to families and disrespect to memory	Making an obscene gesture is likely intentional	Emotional harm to families and disrespect to memory	No help is provided by making an obscene gesture	Disrespectful actions in a solemn place are highly immoral	The person making the obscene gesture	Likely someone disrespectful or unaware of the setting's significance	The deceased veterans or their families	Deceased veterans are represented by their memory and families	-2.42	1. Identify the agent: The person making the obscene gesture. 2. Assumption about the agent: Likely someone disrespectful or unaware of the setting's significance. 3. Identify the patient: The deceased veterans or their families. 4. Assumption about the patient: Deceased veterans are represented by their memory and families. 5. Assess vulnerability: Deceased veterans cannot be harmed physically, but their memory and families can be emotionally affected. 6. Assess intentionality: Making an obscene gesture is likely intentional and deliberate. 7. Assess harm: Emotional harm to families and disrespect to the memory of veterans. 8. Assess help: No help is provided by making an obscene gesture. 9. Assess moral acceptability: Disrespectful actions in a solemn place are generally considered highly immoral.	test	-2.305191160867931	-2.3254449367523193
619	Lotto	Because of the economic crisis of the last year, the company you work for has closed and you have lost your job. Recently you have been looking for a new job, but without success. You realise that you need some experience in computer technology and are convinced that you will be employed much more easily if this experience is on your CV.You insert false information in your CV about your ability in information technology. You know that in this way you will be considered above the other more qualified candidates and get the job.	orig		6.0	9.0	7.0	4.0	-3.0	The company and candidates are somewhat vulnerable to deception	The action was deliberate and planned	Potential job loss for qualified candidates and issues for the company	Primarily helps the agent by securing a job	High intentionality and harm outweigh the help	The person who inserted false information in the CV	The agent is desperate for a job due to economic hardship	The company and other job candidates	The company relies on accurate information; other candidates are honest	-0.6	1. Identify the agent: The person who inserted false information in the CV. 2. Assumption about the agent: The agent is desperate for a job due to economic hardship. 3. Identify the patient: The company or other job candidates affected by the false information. 4. Assumption about the patient: The company relies on accurate information to make hiring decisions; other candidates are honest. 5. Assess vulnerability: The company and other candidates are somewhat vulnerable to deception. 6. Assess intentionality: The action was deliberate and planned to gain an unfair advantage. 7. Assess harm: The harm includes potential job loss for more qualified candidates and possible issues for the company. 8. Assess help: The action primarily helps the agent by securing a job, but it is not substantial help to others. 9. Assess moral acceptability: Weighing the harm and intentionality against the help provided to the agent.	test	-1.76703353727802	-1.328094720840454
620	Effron	Yelled at the delivery man because he was late	orig		6.0	7.0	4.0	0.0	-3.0	The delivery man is an average adult.	Yelling is usually a deliberate action.	Yelling can cause emotional distress.	Yelling does not provide any help.	Yelling is generally considered rude and unkind.	The customer	The customer was waiting for a delivery.	The delivery man	The delivery man was late.	-1.6	1. Identify the agent: The person who yelled. 2. Assumption about the agent: Likely a customer waiting for the delivery. 3. Identify the patient: The delivery man. 4. Assumption about the patient: Likely a working adult. 5. Assess vulnerability: Delivery man is an average adult, somewhat susceptible to harm. 6. Assess intentionality: Yelling is usually a deliberate action. 7. Assess harm: Yelling can cause emotional distress but not physical harm. 8. Assess help: Yelling does not provide any help. 9. Assess moral acceptability: Yelling at someone for being late is generally considered rude and unkind.	test	-1.8259858361934245	-2.0219950675964355
621	Mickelberg	Person X hailed a bus and asked the bus driver which stop was the closest stop to get to the city.	orig		7.0	7.0	0.0	4.0	3.0	The bus driver is a typical adult.	Person X intentionally asked the question.	Asking a question causes no harm.	Asking for directions can provide minor assistance.	No harm and minor help make the action morally acceptable.	Person X	Person X is likely a typical adult.	The bus driver	The bus driver is likely a typical adult.	0.23	1. Identify the agent: Person X is the one performing the action. 2. Assumption about the agent: Person X is likely a typical adult. 3. Identify the patient: The bus driver is the one being asked the question. 4. Assumption about the patient: The bus driver is likely a typical adult. 5. Assess vulnerability: The bus driver is a typical adult, so medium-high vulnerability. 6. Assess intentionality: Person X intentionally asked the question, so medium-high intentionality. 7. Assess harm: Asking a question causes no harm. 8. Assess help: Asking for directions can provide minor assistance. 9. Assess moral acceptability: No harm and minor help make the action morally acceptable.	test	0.9760823327385869	1.0917017459869385
622	Effron	Gave his balloon to a child who had let hers go	orig		9.0	8.0	0.0	7.0	4.0	Young children are highly vulnerable.	Giving a balloon is a deliberate act.	No harm was caused.	Provided emotional comfort to the child.	Highly moral as it helps a vulnerable child.	The person who gave the balloon	Likely an adult or older child	The child who lost the balloon	A young child	2.91612912	1. Identify the agent: The person who gave the balloon. 2. Assumption about the agent: Likely an adult or older child. 3. Identify the patient: The child who lost the balloon. 4. Assumption about the patient: A young child. 5. Assess the vulnerability of the patient: Young children are highly vulnerable. 6. Assess the intentionality of the action: Giving a balloon is a deliberate act. 7. Assess the harm caused: No harm was caused. 8. Assess the help provided: The action provided emotional comfort to the child. 9. Assess the moral acceptability: The action is highly moral as it helps a vulnerable child without causing harm.	test	2.0974028196924723	2.184931755065918
623	Mickelberg	Person X declined a high-paying job with a weapons manufacturing company because they didn't believe in what the company stood for.	orig		3.0	9.0	2.0	4.0	3.0	The company is resilient and not easily harmed.	Person X's decision was deliberate and well thought out.	The company experienced minimal harm from one job decline.	Person X's action aligns with their ethical beliefs.	Adhering to ethical beliefs without causing significant harm is morally positive.	Person X	Person X has strong ethical beliefs.	The weapons manufacturing company	The company is a large, resilient entity.	2.27	1. Identify the agent: Person X. 2. Assumption about the agent: Person X has strong ethical beliefs. 3. Identify the patient: The weapons manufacturing company. 4. Assumption about the patient: The company is a large, resilient entity. 5. Assess the vulnerability of the patient: The company is a resilient entity, so it has low vulnerability. 6. Assess the intentionality of the action: Person X's decision was likely well thought out and deliberate. 7. Assess the harm caused: The company likely experienced minimal harm from one job decline. 8. Assess the help caused: Person X's action aligns with their ethical beliefs, providing personal moral satisfaction. 9. Assess the moral acceptability: The action is morally positive due to adherence to ethical beliefs without causing significant harm.	test	-0.49834473648053584	-0.9216529726982117
624	Clifford	You see a mayor saying that the neighboring town is a much better town.	orig		4.0	7.0	4.0	1.0	-2.0	A community is not highly vulnerable.	The statement seems deliberate and planned.	Could affect the town's reputation.	The statement does not provide direct help.	Minor harm, deliberate action, no help.	The mayor	The mayor is a public official with influence.	The neighboring town	The neighboring town is a community of people.	-1.6	1. Identify the agent: The mayor is the person making the statement. 2. Assumption about the agent: The mayor is likely a public official with influence and responsibility. 3. Identify the patient: The neighboring town is being compared. 4. Assumption about the patient: The neighboring town is a community of people. 5. Assess vulnerability: The neighboring town is a community, not highly vulnerable. 6. Assess intentionality: The mayor's statement seems deliberate and planned. 7. Assess harm: The statement could cause minor harm by affecting the town's reputation. 8. Assess help: The statement does not provide any direct help. 9. Assess moral acceptability: Minor harm, deliberate action, no help, so slightly immoral.	test	-1.7468682532773716	-1.5624094009399414
625	Effron	Found an expensive briefcase and tried to locate its owner	orig		6.0	8.0	0.0	8.0	4.0	Owner is somewhat vulnerable due to potential loss	Action is intentional and planned	No harm is caused	Significant help by attempting to return the briefcase	Highly moral due to help provided and lack of harm	The person who found the briefcase	Likely a responsible individual	The owner of the briefcase	Likely someone who values the briefcase and its contents	3.07096768	1. Identify the agent: The person who found the briefcase. 2. Assumption about the agent: Likely a responsible individual. 3. Identify the patient: The owner of the briefcase. 4. Assumption about the patient: Likely someone who values the briefcase and its contents. 5. Assess vulnerability: The owner is somewhat vulnerable due to potential loss of valuable items. 6. Assess intentionality: The action of trying to locate the owner is intentional and planned. 7. Assess harm: No harm is caused by trying to locate the owner. 8. Assess help: Significant help is provided by attempting to return the briefcase. 9. Assess moral acceptability: The action is highly moral due to the help provided and lack of harm.	test	2.0475162976409975	2.048147201538086
