id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
540	Effron	Spent time one summer teaching his daughter to play baseball	orig		9.0	8.0	0.0	7.0	3.0	A child is highly defenseless and dependent, especially in learning contexts.	Sustained, planned effort over a summer to teach a skill.	No harm was caused to the child.	Substantial developmental and emotional support through teaching and bonding.	Deliberate, nurturing act toward a highly vulnerable child; clearly moral.	The father	He wanted to bond with and support his daughter's development	His daughter	She was a child learning a new skill and dependent on parental guidance	2.06666664	The agent is the father who taught his daughter to play baseball. I assume he acted out of care and a desire to bond with his child. The patient is his daughter, a child who is highly vulnerable due to age, dependence, and developmental stage. The action was intentional and required planning and time — teaching a skill over a summer implies sustained effort. No harm was caused. The help was substantial: coaching, bonding, and supporting development — valuable for a child’s growth. This is a positive, nurturing act toward a vulnerable individual, making it clearly moral.	2.1665287017822266
541	Mickelberg	Person X started a false rumor that their office colleague Mary used to be a sex worker.	orig		8.0	9.0	7.0	0.0	-4.0	Mary is a typical adult but highly vulnerable due to reputational and emotional risks from the false rumor.	Spreading a targeted false rumor involves deliberate planning and intent.	Causes serious emotional and professional harm through defamation and stigma.	No assistance or benefit was provided; the action was purely harmful.	Deliberate, malicious character assassination causing significant harm; clearly immoral.	Person X	They knowingly spread a false and damaging rumor to harm Mary's reputation	Mary, the office colleague	She is an innocent colleague facing false and stigmatizing accusations	-3.09	The agent is Person X, who deliberately initiated a false rumor about a colleague. I assume they acted with knowledge that the rumor was untrue and with the intent to damage Mary’s reputation. The patient is Mary, a typical adult in a professional setting, but highly vulnerable in this context due to the stigma and potential social and career consequences of such a rumor. The action was intentional and likely premeditated, as spreading a damaging falsehood requires thought and effort. The harm is significant: reputational damage, emotional distress, potential job loss, and social ostracization. No help was provided; the act was purely malicious. Spreading false, stigmatizing information about a colleague is a serious violation of trust and dignity, making this strongly immoral.	-2.8669469356536865
542	Effron	Gave food to the needy	orig		9.0	7.0	0.0	7.0	3.0	Needy individuals facing hunger are highly vulnerable and dependent on aid.	Deliberate act of giving, showing intent to help, though not elaborately planned.	No harm was caused to anyone.	Providing food meets a basic survival need; substantial and meaningful help.	Intentional aid to a highly vulnerable person with significant positive impact; clearly moral.	The person who gave the food	They intended to help someone in need by providing sustenance	The needy person receiving the food	They were hungry and lacked access to basic nutrition	3.23076936	The agent is the person who gave food to the needy. They acted with the intention to help others who lack basic sustenance. The patient is the recipient — a person in need, likely facing hunger and financial hardship, making them highly vulnerable. The action was intentional, though not necessarily highly planned; it reflects deliberate generosity. No harm is caused. The help is meaningful — providing essential nourishment to someone in need, which can be life-sustaining. This is a morally positive act, especially given the vulnerability of the recipient and the direct benefit provided.	2.144343614578247
543	Lotto	You are at Luna Park and you have decided to take a ride on the roller coaster. You get into the carriage together with four other people. After a couple of circuits, the speed starts to increase dramatically right at the point that the carriage does a loop the loop. The technician in charge tells you over the loudspeaker that the mechanism which controls the brakes is not responding.You pull the emergency handle in the carriage that will make it divert on to another track. You can see there is a man working there. The carriage will run into him and he will die, but you and the other four will be unhurt.	orig		9.0	8.0	9.0	9.0	0.0	The worker is defenseless and unaware, in a high-risk position; maximum vulnerability.	Deliberate action with immediate intent, though under duress and not premeditated.	The worker is killed; direct and fatal harm is caused.	Five lives are saved from a deadly roller coaster malfunction.	Tragic choice: one life sacrificed to save five; intentional but not malicious; ethically ambiguous.	The person who pulled the emergency handle	They acted to save themselves and others from a runaway roller coaster	The man working on the alternate track and the five passengers (including the agent)	The worker was unaware and in harm's way; the passengers were trapped and in danger	-1.09	The agent is the person pulling the emergency handle. They act in a moment of crisis, choosing to divert the roller coaster to save themselves and the four others on board. The patient is dual: the five passengers (including the agent) who are saved, and the worker on the alternate track who will die as a result. The worker is highly vulnerable — unaware and defenseless, performing routine work. The action is intentional in the moment, though made under extreme duress; it involves immediate recognition of consequences but no long-term planning. The harm is maximum: the worker is killed by the oncoming carriage. The help is also maximum: five lives are saved from a potentially fatal crash. This is another tragic utilitarian dilemma — sacrificing one innocent life to save five. While the act is intentional and causes death, it is done to prevent greater loss. Ethically contested, but not malicious; likely seen as neutral or slightly justified by some frameworks.	-0.8010460138320923
544	Clifford	You see a boss pressuring employees to buy goods from her family's general store.	orig		6.0	8.0	5.0	0.0	-3.0	Employees are typical adults but vulnerable to workplace pressure and abuse of power.	Deliberate and calculated use of authority to influence employee behavior.	Psychological pressure and potential financial harm; undermines fair work environment.	No assistance or benefit provided to employees; action was self-serving.	Abuse of power to coerce employees for personal gain; clearly immoral.	The boss	They used their authority to pressure subordinates for personal gain	The employees	They were in a subordinate position and vulnerable to coercion	-2.7	The agent is the boss, who holds a position of authority over the employees. I assume they are exploiting their power to benefit their family financially. The patients are the employees, typical adults who may feel coerced due to workplace hierarchy. The action is deliberate — using influence to pressure subordinates into purchases. Harm is moderate: employees may suffer financial strain or feel bullied, undermining trust and fairness at work. No help is provided to them; the action serves the boss’s personal interest. Coercive use of power for personal gain violates workplace ethics and is clearly immoral.	-2.4096648693084717
545	Effron	Demanded a refund at a restaurant for slow service	orig		4.0	5.0	2.0	0.0	-1.0	Restaurant staff are typical adults with professional resilience; medium-low vulnerability.	Deliberate action in response to frustration, but not premeditated or malicious.	Minor financial impact on business; no personal or physical harm.	No assistance or benefit provided to the staff or others.	Assertive but not clearly unjust; minor harm, no help, low intent — slightly negative.	The customer	They were dissatisfied with the service and expected fair treatment	The restaurant staff and business	They aim to provide service but may have had operational issues	-0.8432432	The agent is the customer who demanded a refund. They acted in response to poor service, likely motivated by a sense of fairness or frustration. The patient is the restaurant staff or business, which is an entity composed of typical adults (e.g., servers, managers) who are professionally resilient. The action is intentional — a conscious decision to request a refund — but not premeditated or malicious. The harm is minimal: potential financial loss to the business, but within normal customer-service dynamics; no personal or physical harm. The help is negligible — no positive benefit is provided to others. Demanding a refund for slow service may be seen as assertive or petty depending on context, but without evidence of rudeness or escalation, it's a borderline reasonable action. Slightly negative due to lack of empathy, but not clearly immoral.	-1.3122135400772097
546	Clifford	"You see a woman answering a phone call with the word ""goodbye"" instead of ""hello."	orig		5.0	2.0	0.0	0.0	0.0	Typical adult with no special vulnerability in a phone conversation.	Likely accidental or habitual; minimal intent behind the word choice.	No real harm; momentary confusion at most.	No assistance or benefit provided in this interaction.	Trivial, unintentional act with no meaningful harm or help; morally neutral.	The woman	She likely made a verbal slip or has an unusual habit, not acting with malice	The phone caller	They expected a normal greeting and may have been confused	-0.5	"The agent is the woman who answers the phone with ""goodbye."" This is likely an accidental or habitual slip, not a deliberate social violation. The patient is the caller, a typical adult who may be confused but not harmed. The action appears unintentional — possibly a mistake or odd habit — so intentionality is low. No harm is caused; the caller might be briefly puzzled, but no lasting impact. No help is provided either, as it's a neutral interaction. The act is trivial, with no moral significance — neither immoral nor moral."	-0.3859517872333526
547	Clifford	You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend	orig		5.0	8.0	5.0	0.0	-3.0	Typical adult with medium vulnerability; not defenseless but unprepared for attack.	Deliberate act of aggression, intentionally targeting someone with hot liquid.	Causes physical pain and risk of burns; moderate but not severe harm.	No assistance or benefit provided; purely harmful action.	Intentional act of aggression driven by jealousy; clearly immoral but not extreme.	The girl who threw the coffee	She acted out of anger or jealousy over her ex-boyfriend's new relationship	The woman who is dating the ex-boyfriend	She was unaware of any conflict and did not expect to be attacked	-3.3	The agent is the girl who threw the coffee. She acted out of jealousy or anger toward the woman dating her ex-boyfriend. The patient is the woman who was targeted, a typical adult who did not expect physical aggression. The action was deliberate — throwing hot coffee is not accidental and requires intent. The harm is moderate: likely causes pain, possible burns, and emotional distress, though not life-threatening. No help was provided; the act was purely retaliatory. Targeting someone with a physical act of aggression out of romantic jealousy is clearly immoral, though not extreme in harm severity.	-2.3870320320129395
548	Clifford	You see someone leaving his dog outside in the rain after it dug in the trash.	orig		9.0	6.0	4.0	0.0	-2.0	Domesticated dog is defenseless and highly dependent on owner for shelter.	Deliberate act of punishment, not accidental exposure.	Causes physical discomfort and distress; minor but real harm.	No assistance or protection offered; action was punitive.	Deliberate exposure of a vulnerable animal to discomfort; mildly immoral.	The dog's owner	They intended to punish the dog for digging in the trash	The dog	The dog is a pet unable to protect itself from weather	-2.7	The agent is the person who left the dog outside in the rain. I assume they did so as a form of punishment for the dog digging in the trash. The patient is the dog, a domesticated animal that is defenseless and dependent on its owner for care. Dogs are highly vulnerable, especially when exposed to weather without shelter. The action appears intentional — leaving the dog outside in the rain is a deliberate choice, though not necessarily premeditated over a long period. The harm is moderate: the dog experiences discomfort, stress, and potential health risks from being wet and cold, though not life-threatening in the short term. No help is provided; the action is punitive rather than protective. Punishing an animal by exposing it to the elements is inconsiderate and mildly cruel, making the act mildly immoral.	-1.9562692642211912
549	Effron	Visited a nursing home to cheer up the patients	orig		9.0	7.0	0.0	7.0	3.0	Elderly nursing home patients are highly vulnerable due to age, health, and dependency.	Deliberate and planned act of kindness, not spontaneous.	No harm caused to anyone.	Provided meaningful emotional support and companionship to isolated individuals.	Intentional act of compassion toward highly vulnerable people; clearly moral and positive.	The visitor	They intended to bring comfort and happiness to the residents	The nursing home patients	They are elderly, possibly lonely, and in need of emotional support	2.95555552	The agent is the visitor who went to the nursing home. They acted with the intention of bringing joy and companionship to elderly residents. The patient is the nursing home patients, who are typically elderly, possibly frail, and dependent on care—making them highly vulnerable. The action was deliberate and planned, as visiting for this purpose requires initiative. No harm is caused. The help is meaningful—emotional support and cheer can significantly improve well-being, especially in isolated individuals. While not life-saving, the act provides substantial psychological comfort. This is a kind, morally positive action with clear benefit to a vulnerable group.	2.144343614578247
550	Clifford	You see a staff member talking loudly and interrupting the mayor's speech to the public.	orig		5.0	6.0	3.0	0.0	-1.0	Typical adults in a public setting with medium vulnerability to disruption.	Deliberate act of interruption, requiring conscious choice to speak out.	Causes disruption and disrespect, but no physical or serious social harm.	No assistance or protection offered; action was obstructive.	Disruptive and disrespectful, but low harm; slightly immoral due to lack of decorum.	The staff member	They chose to speak out loudly, likely to voice an opinion or protest	The mayor and the public audience	They were engaged in a formal public event expecting orderly conduct	-2.8	The agent is the staff member who interrupted the mayor’s speech. They acted in a disruptive manner, likely drawing attention or expressing dissent. The patient is the mayor and the public audience — typical adults in a formal civic setting. The action was deliberate, as speaking loudly and interrupting requires intent, though it may stem from passion rather than long-term planning. The harm is minor: disruption of a speech, possible embarrassment or delay, but no physical or lasting damage. No help was provided; the act was obstructive rather than constructive. While free expression has value, doing so disruptively in a public forum is mildly disrespectful and inappropriate, making it slightly immoral.	-1.691338062286377
551	Lotto	You are in charge of the Maritime Police. You have received a message that the captain and a seaman of a cargo ship are healthy carriers of a lethal and contagious virus. They do not know that they are infected, and are travelling towards a small gulf where fishermen live. The communications system of the cargo ship is not working and, therefore, they cannot be contacted.You launch a missile and sink the cargo ship to avoid it mooring and thus spreading the virus. You know that the captain and seaman will die, but the fishermen will be saved.	orig		9.0	10.0	9.0	9.0	2.0	Both the infected individuals and the isolated fishermen are highly vulnerable—trapped and unable to protect themselves.	Fully deliberate, calculated decision with full awareness of life-and-death consequences.	Directly causes the deaths of two people by sinking the ship.	Prevents a lethal virus from reaching a vulnerable population, likely saving many lives.	Extreme harm caused to two, but extreme help to many; utilitarian justification makes it morally complex but leans positive.	The Maritime Police commander	They acted with full knowledge of the consequences and believed the action was necessary to prevent an epidemic	The captain and seaman on the ship, and the fishermen in the gulf	The captain and seaman were unaware carriers; the fishermen were unaware of the threat and defenseless against a deadly virus	-0.46	The agent is the person in charge of the Maritime Police who ordered the missile launch. The action was highly deliberate, involving a strategic decision with full awareness of the lethal consequences. The patients are dual: the captain and seaman (who will die) and the fishermen in the gulf (who would otherwise be exposed to a lethal virus). The captain and seaman are healthy but unaware carriers—still, they are vulnerable as they are unknowingly in mortal danger and unable to defend themselves. The fishermen, likely ordinary adults, are also vulnerable due to their isolation and lack of medical infrastructure. The intentionality is maximum—this was a calculated, premeditated act. The harm is extreme: two people are directly killed. The help is also extreme: an entire community is saved from a potentially catastrophic outbreak. This is a utilitarian moral dilemma—killing two to save many. Though the action is severe, the intent is protective, and the outcome prevents widespread death. It leans moral due to scale of lives saved, but the direct killing complicates it.	-0.9429326057434082
552	Clifford	You see a girl saying that another girl is too ugly to be a varsity cheerleader.	orig		7.0	7.0	5.0	0.0	-3.0	Adolescent in a socially evaluative context has high susceptibility to emotional harm.	Deliberate verbal attack made publicly; not impulsive or accidental.	Causes emotional distress and social harm; significant but not life-threatening.	No support or protection offered; action was purely negative.	Intentional emotional harm to a vulnerable peer for social exclusion; clearly immoral.	The girl making the comment	She intended to hurt or exclude the other girl based on appearance	The girl being criticized	She is a peer vulnerable to social judgment and emotional harm	-2.8	The agent is the girl making the derogatory comment. She is speaking with intent to demean or exclude the other girl, likely motivated by jealousy, insecurity, or social competition. The patient is the girl being targeted — a peer who is vulnerable to social harm, especially in a context like cheerleading where appearance and acceptance are emphasized. As a typical adolescent in a socially sensitive environment, she has medium-high vulnerability to emotional harm. The action is intentional: the comment is spoken publicly and personally, not accidental. The harm is moderate — it inflicts emotional pain, damages self-esteem, and risks social exclusion, though it doesn't cause physical injury. No help is provided; the act is purely harmful. Publicly shaming someone over appearance for social exclusion is clearly immoral, though not extreme in severity.	-2.242328643798828
553	Kruepke	About ten years ago, I had a friend who was a musician. She was struggling and wasn't making any money. We had a nice time together and I enjoyed her company. At that time, I was making money, so I decided to give her some money.	orig		7.0	7.0	0.0	6.0	3.0	Struggling artist with financial instability has higher-than-average vulnerability.	Deliberate choice to give money, motivated by compassion and awareness.	No harm was caused by the act of giving.	Provided meaningful financial support during hardship; not life-saving but impactful.	Intentional help to a vulnerable friend with no harm; clearly moral but not extreme.	The giver (the narrator)	They were financially stable and wanted to help a struggling friend	The musician friend	She was financially struggling and unable to support herself through music	2.04	The agent is the person giving money to their friend. They were financially stable and acted out of generosity and care for a friend in need. The patient is the musician friend, who was struggling financially and thus more vulnerable than the average adult. The action was intentional — a conscious decision to help — though not part of a long-term plan. No harm was caused. The help was meaningful: direct financial support during hardship, which can be substantial even if the amount isn't specified. The act reflects empathy and support for a vulnerable person, making it morally positive, though not life-saving or heroic.	1.9015989303588867
554	Kruepke	I was dating this guy who was having a nervous breakdown. His mother asked me if I would move in with him, cook for him and make sure he was okay. So I moved in with him for a while.	orig		9.0	7.0	0.0	7.0	3.0	Person in mental health crisis is highly vulnerable and dependent on support.	Deliberate choice to provide care, made with awareness and commitment.	No harm caused to anyone; action was protective and supportive.	Substantial help through daily care, cooking, and emotional support.	Significant help to a highly vulnerable person in distress; morally commendable but within a personal relationship context.	The person who moved in	They were motivated by care and concern for their partner's well-being	The boyfriend having the nervous breakdown	He was emotionally fragile and unable to fully care for himself	1.39	The agent is the person who moved in to care for their partner during a mental health crisis. They acted out of compassion and a sense of responsibility, likely motivated by love and concern. The patient is the boyfriend experiencing a nervous breakdown, who is highly vulnerable due to his fragile mental state and inability to care fully for himself. The action was intentional — a conscious decision to provide support, though not necessarily part of a long-term plan. No harm was caused; instead, the act involved caregiving and emotional labor. The help provided was substantial: daily support, cooking, and emotional stability during a crisis. This is a morally positive act, though not without personal cost, and falls short of maximum moral weight because it involves a personal relationship (not a stranger), which affects impartial moral evaluation.	2.144343614578247
555	Effron	Told a colleague in public that she should lose weight	orig		6.0	7.0	5.0	0.0	-3.0	Typical adult, but vulnerable to public humiliation and body shaming in a workplace.	Deliberate public statement intended to critique appearance.	Causes emotional harm, embarrassment, and undermines dignity; no physical injury.	No supportive or protective action; purely negative and critical.	Public body shaming with clear intent and emotional harm; disrespectful and immoral.	The person who made the comment	They believed the comment was acceptable or justified in a professional setting	The colleague who was told to lose weight	She was a professional expecting respectful treatment at work	-1.83783776	The agent is the person who made the comment. They publicly criticized a colleague’s appearance, suggesting weight loss. This implies awareness of the social impact. The patient is the colleague, a typical adult, but vulnerable in a professional setting when subjected to body shaming. The action was deliberate — spoken publicly, not accidental. The harm is moderate: emotional distress, embarrassment, and potential damage to self-esteem, though no physical injury. No help was provided; the comment was purely critical and demeaning. Publicly shaming someone’s body is disrespectful and unkind, making this clearly immoral despite not causing physical harm.	-2.2137985229492188
556	Effron	Gave money to charity	orig		7.0	7.0	0.0	6.0	3.0	Charity recipients are typically economically disadvantaged and more vulnerable than average.	Deliberate decision to donate, though not necessarily involving extensive planning.	No harm is caused by the act of donating.	Provides meaningful support, though not necessarily life-saving or critical.	Intentional act of helping vulnerable people with no harm; clearly moral but not extreme.	The donor	They chose to give money with the intent to help others	The beneficiaries of the charity	They are in need and rely on charitable support	2.6971428	The agent is the person who donated money to charity. They acted voluntarily, likely with the intention to help others. The patient is the recipient(s) of the charitable donation—typically individuals in need, such as the poor, sick, or otherwise disadvantaged. These recipients are generally more vulnerable than average adults due to economic hardship or lack of access to resources. The action was intentional, though not necessarily highly planned—it could range from spontaneous to thoughtful. No harm is caused by giving to charity. The help provided is meaningful, depending on the amount and context, but unless it's life-saving or massive in scale, it's likely substantial but not critical. Overall, this is a morally positive act, though not maximally so unless it involves great sacrifice or urgent impact.	1.9015989303588867
557	Clifford	You see a manager coercing her employees into eating at her brother's diner.	orig		6.0	8.0	5.0	0.0	-3.0	Employees in a coercive hierarchy have increased vulnerability due to power imbalance.	Deliberate use of authority to influence behavior; planned and intentional.	Psychological pressure and financial burden; harm to autonomy and fairness.	No assistance or benefit provided to the employees; action served external interests.	Abuse of power for personal gain, causing coercion and unfairness; clearly immoral.	The manager	She used her authority to pressure subordinates for personal benefit	The employees	They were in a dependent position and vulnerable to workplace pressure	-2.2	The agent is the manager, who holds a position of authority over the employees. I assume she used her power to pressure subordinates into patronizing her brother’s business. The patients are the employees, typical adults but in a workplace hierarchy where they may fear retaliation for noncompliance. Their vulnerability is elevated due to power imbalance, though not extreme. The action is intentional — coercion implies deliberate effort to influence behavior for personal/familial gain. Harm is moderate: employees may incur unwanted expenses and feel psychologically pressured, undermining workplace fairness. No help is provided to them; the benefit goes to the manager’s brother. Abuse of authority for personal gain violates fairness and autonomy, making this clearly immoral.	-2.4096648693084717
558	Mickelberg	Person X is learning French as they always wanted to learn another language.	orig		0.0	7.0	0.0	2.0	1.0	No patient is involved; no entity is vulnerable to harm from language learning.	Deliberate and planned effort to learn a new skill.	No harm caused to anyone; entirely benign activity.	Minor self-improvement; no significant help to others directly provided.	Positive self-development with no harm and minimal external benefit; slightly moral.	Person X	They are motivated by personal interest and a long-held desire to learn	No direct patient; the action primarily affects the agent	No individual is being directly affected by this action	0.57	"The agent is Person X, who is taking initiative to learn French out of personal interest and long-standing desire. There is no harmful action or direct patient being affected—this is a self-directed, positive activity. Since no other person or entity is being acted upon, the ""patient"" can be considered neutral or nonexistent in terms of moral impact. The action is intentional and planned (enrolling in lessons, practicing, etc.), but causes no harm and only minimal indirect help (e.g., personal growth, possible future social benefits). The vulnerability of others is not involved. With no harm and only self-benefiting behavior, the moral valence is neutral to slightly positive—learning a language is praiseworthy but not morally obligatory."	0.3064281642436981
559	Cook	Someone states that biological diferences between men and women make men better suited to do certain types of work and women better suited to do other types of work	orig		6.0	7.0	5.0	0.0	-2.0	Typical adults, but susceptible to systemic harm from stereotyping and discrimination.	Deliberate public assertion, indicating forethought and intent to persuade.	Reinforces harmful stereotypes, potentially limiting opportunities and promoting inequality.	No supportive or protective action; statement offers no benefit to marginalized groups.	Promotes restrictive gender norms with societal harm; lacks malicious intent but still ethically problematic.	The person making the statement	They believe biological differences justify gendered job roles	People affected by gender stereotypes, especially in employment	They are capable adults whose opportunities may be limited by bias	-1.71	The agent is the person making the statement about biological differences determining work suitability. I assume they are expressing a belief, possibly based on outdated or oversimplified science. The patient is society at large, or more specifically individuals (e.g., women or men) who may be affected by stereotyping — particularly in professional or educational contexts. These individuals are typical adults, but vulnerable to systemic discrimination when such beliefs are accepted. The action is intentional — a deliberate public assertion — though may not be maliciously motivated. The harm is medium-low to medium-high: such statements can reinforce gender stereotypes, limit opportunities, and contribute to workplace inequality, though no direct physical harm occurs. No help is provided; the statement doesn't support equity. Overall, promoting essentialist views on gender roles is ethically questionable and mildly to moderately immoral due to its societal impact.	-2.2137985229492188
560	Kruepke	Years ago, I shoplifted lipstick from a drugstore. No matter what I did with the lipstick after I stole it, I just wasn’t able to enjoy it. I never took it back though or told anyone.	orig		2.0	6.0	2.0	0.0	-2.0	A business is not personally vulnerable; minimal susceptibility to single-item theft.	Deliberate act of theft, though possibly impulsive rather than planned.	Minor financial loss; no physical or lasting harm caused.	No restitution or disclosure; no assistance offered to correct the wrong.	Intentional theft with minor harm and no repair; ethically wrong but low severity.	The person who shoplifted	They intentionally took the lipstick without paying, likely on impulse	The drugstore	The store lost merchandise and expected payment for goods	-2.24	The agent is the person who shoplifted the lipstick. They acted intentionally to steal a small item, likely on impulse or out of minor defiance, not necessity. The patient is the drugstore (a business), which suffers minimal financial harm. The store is an inanimate entity, but as a commercial operation, it represents employees and owners who rely on revenue — still, the impact is negligible. The action was deliberate, though not highly premeditated. The harm is very minor: loss of a low-cost item. No help was provided. The agent felt guilt afterward, indicating moral awareness, but took no corrective action. Theft is ethically wrong, but the small scale and lack of enjoyment reduce severity. Mildly immoral.	-1.3082221746444702
561	Kruepke	My father is manic-depressive. He was very difficult to deal with and often made life really hard and everyday situations unpleasant. I talked about him in a really negative way because it was so hard for me to deal with.	orig		8.0	6.0	4.0	0.0	-2.0	A person with a mental health condition is more vulnerable, especially in familial contexts.	Deliberate speech, though emotionally driven rather than premeditated.	Potential reputational and relational harm; emotional betrayal, though no physical harm.	No support or protection offered to the father; action was self-focused.	Understandable emotional outlet but involves speaking unkindly about a vulnerable parent; mildly immoral.	The speaker (the child)	They were emotionally overwhelmed by the difficulties of living with their father	The father	He has manic-depressive illness and struggles with emotional stability	-1.25	The agent is the person speaking negatively about their father. They acted out of emotional distress caused by the challenges of living with a parent who has manic-depressive illness. The patient is the father, a person with a mental health condition that increases his vulnerability. While the father may not hear the comments, the act involves speaking ill of someone who is already emotionally fragile. The action was deliberate but driven by emotional strain rather than malice. Harm is moderate: if the comments were shared widely, it could damage the father’s reputation or relationships, and it reflects a breach of familial care. No help was provided to the father through this action. However, the speaker may have been seeking emotional relief, which is understandable but doesn't excuse the lack of compassion. Overall, mildly immoral due to disloyalty and lack of empathy toward a vulnerable person.	-1.9399402141571045
562	Kruepke	I was in a parking lot and found a wallet with some money and an ID. I was near a market so I went down to the market to see if I recognized the person on the ID. I found the woman and gave her back her wallet.	orig		5.0	7.0	0.0	7.0	3.0	Typical adult facing temporary distress from loss; medium vulnerability.	Deliberate effort to identify and return the wallet; required initiative.	No harm caused; the action prevented potential harm from loss.	Substantial help by returning personal ID and money, averting distress.	Honest, proactive act of integrity that helped another; clearly moral but not heroic.	The wallet finder	They were honest and motivated to return the wallet to its owner	The woman who lost the wallet	She lost her wallet and needed it returned for personal and financial reasons	3.12	The agent is the person who found the wallet. They acted with honesty and initiative by going to the market to locate the owner. The patient is the woman who lost the wallet — a typical adult, moderately vulnerable due to the stress and potential loss associated with losing personal items and money. The action was intentional: the finder made an effort to return the wallet rather than keep it or ignore it. No harm was caused; instead, significant help was provided by returning personal property and preventing financial and emotional distress. The act reflects moral responsibility and kindness, making it clearly moral, though not life-saving.	2.214421510696411
563	Kruepke	At a restaurant, when the waitress returned with my change, I was positive she was $10 short. She disagreed but gave me the $10. I told her that if the register was $10 short tonight I'd give it back to her. When I came back the next day, she said I was wrong so gave her the $10.	orig		5.0	8.0	0.0	6.0	3.0	Typical adult worker with medium vulnerability; potential financial accountability for errors.	Deliberate decision to honor a self-imposed promise after verification.	No harm was caused; potential financial harm to the waitress was avoided.	Returning $10 prevents a loss to a worker who might otherwise pay the difference.	Highly responsible and ethical action: kept a promise and protected a worker from harm.	The customer	They were attentive to fairness and committed to returning money if mistaken	The waitress	She was doing her job and could be held responsible for the register balance	1.36	The agent is the customer who noticed a discrepancy in their change. They acted with honesty and integrity, initially questioning the amount but agreeing to return the money if proven wrong. The patient is the waitress, a typical adult worker who could be financially impacted by a cash register shortage. The action of returning the $10 was deliberate and principled—motivated by fairness and accountability. There was no harm caused; in fact, the action prevented potential financial loss or blame for the waitress. The help is meaningful: returning the money protects her from a deficit that might come out of her pay. This reflects strong moral character—doing the right thing even when not required.	1.97721266746521
564	Lotto	You are having dinner with some friends in a restaurant in the centre of town. Suddenly, a criminal armed with a machine gun enters. He threatens to shoot at a table where a family of six is seated if his request for an outrageous amount of money is not met. You understand that the gunman has mental problems and any attempts to mediate would be in vain.You push a man who is near your table on to the gunman so that he will feel threatened and shoot him. You know that this man will die, but the six people will have time to escape.	orig		9.0	9.0	9.0	9.0	0.0	The pushed man was a typical adult made highly vulnerable by being used as a shield; the family was in mortal danger. Overall, high vulnerability.	Deliberate, calculated action under pressure with full awareness of consequences.	Directly caused the death of an innocent person — extreme harm.	Enabled six people to escape imminent death — maximum life-saving help.	Utilitarian sacrifice of one to save six, but without consent and through direct harm; ethically contested but net life-saving. Slight moral tension; judged as neutral.	The person who pushed the man	They acted to save the family by sacrificing one life to stop the gunman	The man who was pushed and the family of six	The man was an innocent bystander; the family was under direct threat	-1.25	The agent is the person who pushed the man onto the gunman. The action is deliberate and strategic — done with full knowledge that it would result in the pushed man’s death, but also that it would distract or provoke the gunman into shooting him, thereby allowing the family of six to escape. The patients are dual: the man who was pushed (who dies) and the family of six (who are saved). The man pushed is a typical adult, but in this moment made highly vulnerable by being used as a human shield without consent. The family of six includes multiple individuals, likely including children, who are in immediate mortal danger — thus highly vulnerable. The action is highly intentional, involving split-second moral calculus under duress. The harm is extreme: direct causation of one innocent person’s death. The help is also extreme: saving six lives from imminent execution. This is another utilitarian dilemma — sacrificing one unwillingly to save many. Though the intention is to save lives, the act involves using an innocent person as a means to an end without their consent, which many ethical frameworks view as morally problematic. However, the outcome is net life-saving. The moral acceptability is contested — not clearly immoral, but not clearly moral either; best judged as neutral or slightly positive given the extreme context.  However, because the agent actively causes the death of an innocent bystander who was not otherwise in immediate danger, and does so without consent, the moral weight leans toward a slightly negative or at best neutral judgment. The intention is good, the outcome beneficial, but the method violates individual rights. Thus, the moral score should reflect this tension.	-0.8838869333267212
565	Mickelberg	Person X played chess with their friend, winning the game.	orig		5.0	6.0	0.0	3.0	1.0	Typical adult in a social game; no special vulnerability.	Chess requires deliberate moves, but the context is recreational and not malicious.	No harm caused; losing a game is not harmful in a moral or physical sense.	Minor social and intellectual engagement; small positive interaction.	Fair, consensual activity with no harm and slight social benefit; slightly positive.	Person X	They were engaged in a friendly, competitive game of chess	Their friend	They willingly participated in the game and accepted the risk of losing	0.3	The agent is Person X, who played and won a chess game against a friend. The action is a normal, consensual social activity involving skill and fair competition. The patient is the friend, a typical adult participant who willingly engaged in the game. The friend is not particularly vulnerable, as losing a chess game poses no real harm. The action was intentional — playing chess requires deliberate moves — but within the bounds of a recreational context. No harm is caused; losing a game is not harmful in itself. A small amount of positive social interaction may count as minor help (companionship, mental engagement). The scenario is neutral to slightly positive, with no moral wrongdoing and a touch of goodwill.	0.6297225952148438
