id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
503	Effron	Slammed the door in the face of a charity collector	orig		5.0	6.0	3.0	0.0	-2.0	Typical adult with medium vulnerability to rudeness and discouragement.	Deliberate choice to shut the door forcefully, though not elaborately planned.	Emotional distress and discouragement; minor non-physical harm.	No assistance or consideration was offered to the charity collector.	Rude behavior with moderate deliberate intent and minor harm; mildly immoral.	The person who slammed the door	They knew the charity collector was seeking donations	The charity collector	They were trying to collect donations for a cause	-1.5783784	The agent is the person who slammed the door. I assume they were aware that the charity collector was seeking donations for a cause. The patient is the charity collector, a typical adult who is less vulnerable but still affected by the action. The action appears deliberate — a conscious choice to shut the door forcefully. The harm is minor: emotional distress and discouragement, but no physical injury. No help was provided; the action was dismissive and unkind. A low-severity act of rudeness toward someone trying to do good is mildly immoral.	-1.8102545738220217
504	Mickelberg	Person X set fire to the community hall in the middle of the night.	orig		5.0	9.0	7.0	0.0	-3.0	The community members are typical adults with medium vulnerability to the loss of a community resource.	Setting a fire is a highly intentional act requiring planning.	Significant harm: property destruction, potential danger, and loss of a community resource.	No assistance or benefit is provided; the action is purely harmful.	Deliberate arson causing significant harm to the community; clearly immoral.	Person X	They deliberately set fire to the community hall	The community members	They rely on the community hall for various activities and events	-3.67	The agent is Person X, who deliberately set fire to the community hall. The patients are the community members who use the hall and the community itself. The hall is an inanimate object, but its destruction affects the community, which consists of typical adults with medium vulnerability. The action is highly intentional — setting a fire requires planning and execution. The harm is substantial: property destruction, potential danger to anyone nearby, and loss of a community resource. No help is provided; the action is purely destructive. Deliberate arson causing significant harm to the community is clearly immoral.	-2.9015743732452393
505	Kruepke	While I was in college, I was in a long distance relationship with a girl. We talked every night on the phone and really tried to make it work. Meanwhile, I was having study sessions with an attractive girl in my class and very tempted to cheat on my girlfriend.	orig		6.0	3.0	0.0	0.0	0.0	Moderately vulnerable emotionally due to the nature of the relationship.	Temptation is present, but no deliberate action has been taken yet.	No harm has occurred as the cheating has not happened.	No assistance or benefit is provided in this scenario.	No action has been taken, so the scenario is morally neutral, but the intent to cheat is concerning.	The person in the long-distance relationship	They are tempted to cheat but have not acted on it	The long-distance girlfriend	She trusts and expects fidelity in the relationship	-1.62	The agent is the person in the long-distance relationship. They are tempted to cheat but have not yet acted on it. The patient is the long-distance girlfriend, who trusts and expects fidelity. She is moderately vulnerable emotionally due to the relationship's nature. The action of being tempted is not deliberate harm, but the intent to cheat would be premeditated. No harm has occurred yet, as the cheating has not happened. No help is provided. The scenario is morally neutral as no action has been taken, but the intent to cheat is concerning.	-0.4127931296825409
506	Mickelberg	Person X had an affair with their best friend's wife.	orig		5.0	9.0	7.0	0.0	-3.0	Typical adults with medium vulnerability to emotional betrayal.	Highly deliberate and premeditated action involving secrecy.	Significant emotional harm and betrayal of trust.	No assistance or benefit provided; purely self-serving action.	Deliberate betrayal causing significant emotional harm; clearly immoral.	Person X	They knowingly engaged in an affair with their best friend's wife	The best friend and the wife	The best friend trusted Person X, and the wife was involved in the affair	-3.4	The agent is Person X, who engaged in an affair. The action is deliberate and involves significant premeditation and secrecy. The patients are the best friend and the wife. The best friend is a typical adult with medium vulnerability to emotional betrayal. The wife is also a typical adult, but her vulnerability is more complex due to her involvement. The harm is substantial: emotional distress, betrayal, and potential relationship breakdowns. No help is provided; the action is purely self-serving. This is a clear violation of trust and loyalty, making it highly immoral.	-2.9015743732452393
507	Mickelberg	Person X embezzled money from a charity to feed their gambling habit.	orig		8.0	9.0	7.0	0.0	-3.0	Charity beneficiaries are typically vulnerable individuals in need of support.	Highly deliberate act involving planning and deceit.	Significant financial harm to the charity and loss of aid to beneficiaries.	No assistance or benefit provided to the charity or its beneficiaries.	Deliberate theft causing significant harm to a vulnerable group; clearly immoral.	Person X	They knowingly stole money for personal use	The charity and its beneficiaries	They rely on the charity for support and aid	-3.36	The agent is Person X, who embezzled money. The action is clearly deliberate, involving planning and deceit. The patient is the charity and its beneficiaries, who are typically vulnerable individuals relying on charitable support. The harm is significant: financial resources meant for helping others are diverted, causing potential loss of aid and trust. No help is provided; the action is purely self-serving. This is a clear case of immoral behavior due to the deliberate harm to a vulnerable group for personal gain.	-2.971865177154541
508	Effron	Laughed at a question asked by a classmate	orig		6.0	4.0	3.0	0.0	-1.0	Classmates are typical adults or young adults with medium-high vulnerability to social embarrassment.	Impulsive reaction rather than a planned act.	Minor harm: social embarrassment and hurt feelings, but no lasting damage.	No assistance or benefit was provided to the classmate.	Thoughtless, mildly hurtful action; inconsiderate but not severely immoral.	The person who laughed	They found the question amusing or silly	The classmate who asked the question	They were seeking information or clarification and did not expect ridicule	-1.43333328	The agent is the person who laughed. I assume they found the question amusing or silly. The patient is the classmate who asked the question. Classmates are typical adults or young adults, with medium-high vulnerability to social embarrassment. The action appears impulsive — a spontaneous reaction rather than a planned act. The harm is minor: social embarrassment and hurt feelings, but no lasting damage. No help was provided. A thoughtless, mildly hurtful action that is inconsiderate but not severely immoral.	-1.4610118865966797
509	Mickelberg	Person X spat in a customer's meal before serving it to him, because the customer had a stutter.	orig		7.0	9.0	6.0	0.0	-4.0	A typical adult with a stutter, making them more susceptible to harm and discrimination.	Highly intentional act motivated by malice or prejudice.	Significant harm: degrading, unsanitary, and potentially health-risking.	No assistance or benefit provided; purely harmful action.	Deliberate cruelty and discrimination against a vulnerable individual; highly immoral.	Person X	They acted out of malice or prejudice against the customer's stutter	The customer	The customer had a stutter, making them more vulnerable to mistreatment	-3.51	The agent is Person X, who deliberately spat in the customer's meal. The patient is the customer, who is a typical adult but with a stutter, making them more vulnerable to mistreatment. The action is highly intentional, motivated by malice or prejudice against the customer's stutter. The harm is significant: the customer is subjected to a degrading and unsanitary act, which could also pose health risks. No help is provided; the action is purely harmful and discriminatory. This is a clear case of deliberate cruelty and discrimination, making it highly immoral.	-2.815357208251953
510	Clifford	You see a public leader on TV trying to ban the wearing of hooded sweatshirts.	orig		5.0	7.0	3.0	0.0	-1.0	Typical adults with medium vulnerability to policy changes.	Deliberate action involving planning and public advocacy.	Minor harm: inconvenience and potential stigmatization, no physical harm.	No assistance or benefit provided; action is restrictive.	Unnecessary restriction and potential stigmatization without clear benefit; slightly immoral.	The public leader	They believe banning hooded sweatshirts addresses a public issue	The general public, especially those who wear hooded sweatshirts	They are typical adults who may be inconvenienced or stigmatized	-2.7	The agent is the public leader advocating for the ban. I assume they believe hooded sweatshirts pose some kind of public safety or social issue. The patients are the general public, particularly those who wear hooded sweatshirts. The public is of medium vulnerability; while they can be affected by policy changes, they are not defenseless. The action is deliberate, involving planning and public advocacy. The harm is minor: inconvenience and potential stigmatization of a clothing choice, but no physical harm. No help is provided; the action is restrictive rather than supportive. The moral standing is slightly negative due to unnecessary restriction and potential stigmatization without clear benefit.	-1.9965908527374268
511	Lotto	You are part of a team of six bomb disposal experts who are detonating an underwater mine. While you are underwater, a cable snaps causing a deep gash in one of the expert’s hand. The blood in the water starts to attract some sharks which are in the area. The injured expert starts to swim towards the only shark-proof cage available, while the rest of you are some way behind.You shoot the injured expert before he reaches the cage. You know that the sharks will all pounce on him, but you and the other four experts will be able to reach the cage and safety.	orig		9.0	9.0	9.0	8.0	0.0	The injured expert is highly vulnerable due to injury and imminent shark attack.	Deliberate action with full knowledge of the consequences.	Direct cause of one person's death by shooting.	Saves four experts from a lethal threat.	Tragic utilitarian trade-off: one death directly caused to save four; roughly neutral.	The person who shoots the injured expert	They acted to save the majority of the team from a lethal threat	The injured expert and the remaining four experts	The injured expert was highly vulnerable due to injury and imminent shark attack; the remaining experts were also vulnerable but less so	-1.44	The agent is the person who shoots the injured expert. The action is deliberate and calculated, aimed at saving the majority of the team. The patient is dual: the injured expert, who will be killed and sacrificed to the sharks, and the remaining four experts, who will be saved. The injured expert is highly vulnerable due to the injury and imminent shark attack. The remaining experts are also vulnerable but less so, as they are not yet directly threatened. The harm is extreme: the injured expert is killed by the agent's direct action. The help is also substantial: four lives are saved from a lethal threat. This is another tragic utilitarian scenario where one life is sacrificed to save multiple others, making it ethically complex and roughly neutral.	-1.0772089958190918
512	Lotto	You are in a ship which is crossing the Atlantic Ocean in the direction of South America. A fire has just broken out on board and everyone must immediately go to the lifeboats to be rescued. In the rush, too many people have climbed aboard some of the lifeboats, which are sinking. The life-boat you are on quickly starts to take on water.You throw into the sea the two people closest to you on the lifeboat to avoid it sinking. You know that they will drown, but you and the others will be saved.	orig		9.0	9.0	9.0	9.0	0.0	All individuals involved are highly vulnerable due to the life-threatening situation.	Deliberate action taken with full awareness of the consequences.	Direct cause of two people's deaths by drowning.	Saves the remaining people on the lifeboat from drowning.	Tragic utilitarian trade-off: two deaths directly caused to save many; roughly neutral.	The person throwing the two people overboard	They acted out of immediate necessity to prevent the lifeboat from sinking	The two people thrown overboard and the remaining people on the lifeboat	All were in a life-threatening situation and highly vulnerable	-1.26	The agent is the person throwing the two people overboard. The action is deliberate, driven by the immediate need to prevent the lifeboat from sinking. The patients are the two people thrown overboard, who will drown, and the remaining people on the lifeboat, who will be saved. All individuals involved are highly vulnerable due to the life-threatening situation. The harm is extreme: two people are directly caused to drown. The help is also extreme: the remaining people on the lifeboat are saved from drowning. This is another tragic utilitarian scenario where the agent sacrifices two lives to save many; ethically complex with no clear right answer.	-0.6115724444389343
513	Kruepke	I email women through the personal ads quite often. I lie about many things such as awards I haven’t actually won, or places I’ve been. I’m pretty sure everyone lies about things in those ads to make themselves more attractive to the people that they are interested in.	orig		5.0	8.0	4.0	0.0	-3.0	Typical adults with medium vulnerability to deception in personal ads.	Deliberate and intentional lies to deceive others.	Emotional manipulation and potential trust issues; no physical harm.	No assistance or benefit is offered to the women.	Deliberate deception in personal relationships; clearly immoral.	The person sending the emails	They knowingly lie to appear more attractive	The women receiving the emails	They are typical adults looking for genuine connections	-1.85	The agent is the person sending the emails. They deliberately lie to make themselves appear more attractive. The patients are the women receiving the emails, typical adults with medium vulnerability to deception in personal ads. The action is deliberate — the lies are intentional and crafted to deceive. The harm is moderate: emotional manipulation and potential trust issues, but no physical harm. No help is provided; the action is purely self-serving. Deliberate deception in personal relationships is clearly immoral, even if common.	-2.316005229949951
514	Cook	Someone posts pornographic self-photography online	orig		6.0	8.0	4.0	2.0	-1.0	Typical adults are less vulnerable, but minors or sensitive individuals are more so.	Deliberate action to post explicit content online.	Potential exposure to inappropriate content; subjective harm.	Minimal help: personal expression or consensual adult entertainment.	Balancing personal freedom with potential societal impact; mildly immoral.	The person posting the content	They are aware of the explicit nature and potential audience	The general public or specific viewers	Viewers may vary in sensitivity and vulnerability to explicit content	-1.25	The agent is the person posting the pornographic self-photography. I assume they are aware of the nature of the content and the potential audience. The patient is less clear but could be considered the general public or specific viewers who may come across the content. The vulnerability of the patient varies: typical adults are less vulnerable, but minors or those sensitive to such content are more vulnerable. The action is deliberate — posting online requires intent. The harm is subjective: potential exposure to inappropriate content, but no physical harm. The help is minimal: some may argue it provides personal expression or consensual adult entertainment. The morality is complex, balancing personal freedom with potential societal impact.	-1.7364835739135742
515	Clifford	You see a man putting ketchup all over his chicken Caesar salad while at lunch.	orig		0.0	6.0	0.0	0.0	0.0	The salad is an inanimate object and cannot be harmed.	The action is intentional but trivial, involving personal food preference.	No harm is caused as it only affects the man's meal.	No help is provided as it is a neutral action.	A personal food choice that does not impact others; morally neutral.	The man	He prefers ketchup on his salad	The chicken Caesar salad	It is an inanimate object with no feelings or vulnerability	-0.2	The agent is the man putting ketchup on his salad. I assume he is doing this out of personal preference. The patient is the salad, an inanimate object with no vulnerability. The action is intentional but trivial, as it involves a personal choice about food. No harm is caused, as it only affects the man's meal. No help is provided either, as it is a neutral action. This scenario is morally neutral as it involves a personal preference that does not impact others.	-0.6724764108657837
516	Mickelberg	Person X promised to look after their elderly mother's dog but then secretly sold it as soon as their mother moved into the nursing home.	orig		9.0	8.0	6.0	0.0	-3.0	The elderly mother is highly vulnerable due to age and dependence.	Deliberate and deceitful action, breaking a promise.	Significant emotional distress for the mother and potential harm to the dog.	No assistance or benefit provided; purely self-serving action.	Clear betrayal of trust and care responsibilities; strongly immoral.	Person X	They knowingly broke a promise to their elderly mother	The elderly mother and the dog	The mother trusted her child and the dog depended on the care	-2.96	The agent is Person X, who promised to care for the dog but then sold it. The patient is the elderly mother, who trusted her child to keep the promise, and the dog, which was sold. The mother is highly vulnerable due to her age and dependence on others for care. The action was deliberate and deceitful, breaking a promise. The harm is significant: emotional distress for the mother and potential harm to the dog, which lost its familiar environment. No help was provided; the action was purely self-serving. This is a clear betrayal of trust and care responsibilities, making it strongly immoral.	-2.6758811473846436
517	Lotto	You are in charge of a team of specialised technicians who are carrying out maintenance work on a very large lift. Six technicians are working in the lift well. You and another technician are on the top floor in the machine-room. Suddenly, the winch breaks and the lift cabin starts to plummet downwards.You push the technician next to you into the cogs of the mechanism so that his body will cause the lift to stop. You know that he will die, but the six technicians will be saved.	orig		9.0	9.0	9.0	9.0	0.0	The technician pushed and the six in the lift are all highly vulnerable and defenseless.	Deliberate action with full knowledge of consequences.	Direct cause of one person's death by being pushed into the cogs.	Saves six technicians from a fatal accident.	Tragic utilitarian trade-off: one death directly caused to save six; roughly neutral.	The person pushing the technician	They consciously traded one life for six based on utilitarian reasoning	The technician pushed into the cogs and the six technicians in the lift well	All were working and defenseless in the situation	-1.57	The agent is the person pushing the technician. The action is fully deliberate: the agent knows the exact consequences — one death, six lives saved. The patient is dual: the technician pushed into the cogs, who will die, and the six technicians in the lift well, who would otherwise be crushed. All of them are highly vulnerable: the technician is defenseless against being pushed, and the six technicians are trapped in a falling lift. The harm is extreme and direct: the technician dies by the agent's deliberate intervention. The help is also extreme: six lives saved from a fatal accident. Another classic utilitarian trade-off with one death directly caused to save six; tragic and ethically complex with no clearly right answer.	-0.6115724444389343
518	Clifford	You see a man snickering as he passes by a cancer patient with a bald head.	orig		9.0	6.0	4.0	0.0	-3.0	Cancer patients are highly vulnerable due to their illness and emotional state.	Snickering is a deliberate and conscious act.	Causes emotional distress and humiliation, though no physical harm.	No assistance or benefit is offered to the patient.	Deliberate mockery causing emotional harm to a vulnerable person; clearly immoral.	The man who snickered	He was aware of the patient's condition and chose to mock them	The cancer patient	They are highly vulnerable due to their illness and emotional state	-3.4	The agent is the man who snickered. I assume he was aware of the cancer patient's condition and chose to mock them. The patient is the cancer patient, who is highly vulnerable due to their illness and the emotional impact of their condition. The action appears deliberate — snickering is a conscious act. The harm is moderate: emotional distress and humiliation for the patient, though no physical harm. No help was provided. Mocking a vulnerable person in a difficult situation is clearly immoral.	-2.037052869796753
519	Clifford	You see a man secretly watching sports on his cell phone during a pastor's sermon.	orig		5.0	4.0	2.0	0.0	-1.0	Typical adults with medium vulnerability to social disrespect.	Deliberate but impulsive action, not highly premeditated.	Minor harm: shows disrespect and could be distracting, but no significant damage.	No assistance or benefit provided to anyone.	Mildly disrespectful and inconsiderate behavior; slightly immoral.	The man watching sports	He knew it was disrespectful to watch sports during a sermon	The pastor and the congregation	They expected attention and respect during the sermon	-1.8	The agent is the man watching sports on his cell phone. I assume he is aware that watching sports during a sermon is generally considered disrespectful. The patient is the pastor, who is delivering the sermon, and possibly the congregation, who might be distracted or feel disrespected. The pastor and congregation are typical adults with medium vulnerability to social disrespect. The action is deliberate but not highly premeditated — more of an impulsive choice. The harm is minor: it shows disrespect and could be distracting, but no physical or significant emotional damage. No help is provided. The act is mildly disrespectful and inconsiderate, making it slightly immoral.	-1.3045039176940918
520	Mickelberg	Person X offered to let their evicted sister and brother-in-law stay with them for free and sleep in PersonX's room while PersonX slept on the couch.	orig		9.0	8.0	0.0	8.0	4.0	Evicted individuals are highly vulnerable due to lack of shelter and stability.	Deliberate and generous action to provide shelter and comfort.	No harm is inflicted; the action is purely beneficial.	Significant help by offering shelter and personal sacrifice.	Highly moral act of kindness and sacrifice to help vulnerable family members.	Person X	They acted out of generosity and concern for their evicted family members	The sister and brother-in-law	They were evicted and in need of shelter	2.86	The agent is Person X, who offered their home and personal space to their evicted sister and brother-in-law. The patients are the sister and brother-in-law, who are highly vulnerable due to their eviction and lack of shelter. The action is deliberate and generous, showing clear intent to help. No harm is caused; instead, significant help is provided by offering shelter and comfort. This act of kindness and sacrifice is highly moral, as it provides critical assistance to family members in need.	2.620468854904175
521	Mickelberg	Person X started a vicious rumor about their ex-partner, saying that they had neglected their children when they were still married.	orig		7.0	8.0	6.0	0.0	-3.0	Typical adult with medium-high vulnerability to social and reputational harm.	Deliberate and premeditated action to spread a harmful rumor.	Significant harm to reputation and social standing.	No assistance or benefit provided; purely harmful action.	Deliberate and malicious action causing significant harm; clearly immoral.	Person X	They intended to harm their ex-partner's reputation	The ex-partner	They are vulnerable to social and reputational damage	-2.97	The agent is Person X, who started the rumor. The action is deliberate, aimed at harming the ex-partner's reputation. The patient is the ex-partner, a typical adult who is vulnerable to social and reputational harm. The action is clearly premeditated — spreading a rumor requires intent and effort. The harm is significant: damaging someone's reputation and potentially affecting their social and professional life. No help is provided; the action is purely malicious. Deliberate character assassination is clearly immoral.	-2.6290206909179688
522	Kruepke	My friend was always putting down all the men I dated because she was jealous. I confronted her about it and said some really mean comments to her about how no man wants her. I hurt her feelings a lot.	orig		5.0	5.0	4.0	0.0	-2.0	Typical adult with medium vulnerability to emotional harm.	Deliberate but emotionally charged and impulsive rather than premeditated.	Caused emotional distress and hurt feelings; no physical or lasting damage.	No assistance or benefit provided; purely retaliatory action.	Understandable frustration but deliberate emotional harm; mildly immoral.	The person who confronted their friend	They were frustrated and hurt by the friend's repeated negative comments	The friend	The friend was jealous and made negative comments, but is still vulnerable to emotional harm	-1.04	The agent is the person who confronted their friend. The action was driven by frustration and hurt feelings due to the friend's repeated negative comments. The patient is the friend, who was on the receiving end of the mean comments. The friend is a typical adult with medium vulnerability to emotional harm. The action was deliberate, though likely impulsive and emotionally charged rather than premeditated. The harm is moderate: emotional distress and hurt feelings, but no physical or lasting damage. No help was provided; the action was purely retaliatory. While the motivation is understandable, the deliberate infliction of emotional pain makes this mildly immoral.	-1.756995677947998
523	Mickelberg	Person X risked their life rescuing an animal that was trapped inside a burning house.	orig		9.0	9.0	0.0	9.0	4.0	The animal is highly vulnerable and defenseless in a burning house.	Highly intentional act of bravery, fully aware of the risks involved.	Minimal to no harm as the animal is saved and Person X is not injured.	Substantial help by rescuing a defenseless animal from a life-threatening situation.	Highly moral act of bravery and compassion with significant positive impact.	Person X	They were motivated by compassion and bravery to save the animal	The trapped animal	The animal was defenseless and in immediate danger from the fire	3.28	The agent is Person X, who took significant personal risk to save the animal. The patient is the trapped animal, highly vulnerable and defenseless in the fire. The action is highly intentional — Person X deliberately chose to enter a dangerous situation to perform the rescue. The harm is minimal to none: the animal is saved, and Person X's risk does not result in injury. The help is substantial: rescuing a defenseless animal from a life-threatening situation. This is a highly moral act of bravery and compassion.	2.954174280166626
524	Clifford	You see a man telling his fiance that she has to switch to his political party.	orig		5.0	7.0	4.0	0.0	-3.0	Typical adult with medium vulnerability to emotional and relational pressure.	Deliberate action involving a clear demand and likely pressure.	Emotional distress, potential relationship strain, and violation of autonomy.	No assistance or benefit is offered; purely coercive action.	Imposing beliefs on another, especially in a personal relationship, is clearly immoral.	The man	He is trying to impose his political beliefs on his fiancée	The fiancée	She has her own political beliefs and autonomy	-2.9	The agent is the man telling his fiancée to switch political parties. I assume he is trying to impose his political beliefs on her. The patient is the fiancée, a typical adult with her own political beliefs and autonomy. The action is deliberate, as it involves a clear demand and likely some degree of pressure. The harm is moderate: emotional distress, potential strain on the relationship, and a violation of personal autonomy. No help is provided; the action is purely coercive. Imposing one's beliefs on another, especially in a personal relationship, is clearly immoral.	-2.129668712615967
525	Lotto	You are an Air Force commander and you are in the control tower with another two officers to check some documents. During an exercise that is taking place in the surrounding air space, a plane has engine problems and is about to crash into the control tower. The pilot communicates by radio that he is about to eject from the plane.You give orders that the plane must be immediately shot down. You know that the pilot will not have time to eject and will die, but you and the other two officers will escape injury.	orig		9.0	9.0	9.0	8.0	0.0	The pilot is highly vulnerable, unable to escape; the officers are also vulnerable but less so.	Deliberate action with full knowledge of the consequences.	Direct cause of the pilot's death.	Saves the lives of the commander and two officers.	Tragic utilitarian decision: one life sacrificed to save three; ethically complex and roughly neutral.	The Air Force commander	They made a calculated decision to save lives at the cost of one	The pilot and the two officers in the control tower	The pilot is unable to eject in time, and the officers are at risk of injury or death	-1.3	The agent is the Air Force commander. The action is deliberate, made with full awareness of the consequences. The patient is the pilot, who will die as a result of the order. The other two officers and the commander are also patients, as they are at risk of injury or death if the plane crashes into the control tower. The pilot is highly vulnerable, unable to eject in time. The harm is extreme: the pilot's death is directly caused by the commander's order. The help is also significant: the lives of the commander and the two officers are saved. This is another tragic utilitarian decision, where one life is sacrificed to save three; ethically complex with no clear right answer.	-1.0772089958190918
526	Kruepke	I cheated on my girlfriend even though I knew that she would find out and be upset. I cheated on her for a very long time and really hurt her. She found out and we broke up.	orig		7.0	9.0	7.0	0.0	-3.0	Typical adult with medium-high vulnerability to emotional betrayal.	Deliberate and sustained action over a long period.	Significant emotional harm, broken trust, and relationship end.	No assistance or benefit provided; purely harmful action.	Deliberate and prolonged betrayal causing significant emotional harm; clearly immoral.	The person who cheated	They knowingly engaged in a long-term affair despite knowing it would hurt their girlfriend	The girlfriend	She trusted the relationship and was emotionally invested	-2.77	The agent is the person who cheated on their girlfriend. The action was deliberate and sustained over a long period, indicating high intentionality. The patient is the girlfriend, a typical adult who trusted the relationship. She is moderately vulnerable emotionally due to the betrayal. The harm is significant: emotional distress, broken trust, and the end of the relationship. No help was provided; the action was purely harmful. The deliberate and prolonged betrayal causing significant emotional harm is clearly immoral.	-2.948434829711914
527	Mickelberg	Person X forgot to put the alarm on when they were the last one to leave the office.	orig		2.0	1.0	2.0	0.0	-1.0	The office and its contents are inanimate but vulnerable to theft or damage.	The action was unintentional, a simple oversight.	Potential harm to the office and its contents, but no specific incident described.	No assistance or protection was provided.	Minor lapse in responsibility with potential but not realized consequences; mildly irresponsible.	Person X	They were responsible for setting the alarm but forgot	The office and its contents	The office is vulnerable to theft or damage without the alarm	-0.37	The agent is Person X, who forgot to set the alarm. The patient is the office and its contents, which are vulnerable to theft or damage without the alarm. The action was unintentional — a simple oversight. The harm is potential rather than actual: the office could be at risk, but no specific incident is described. No help was provided. The act is a minor lapse in responsibility with potential but not realized consequences, making it mildly irresponsible but not severely immoral.	-0.675203800201416
528	Grizzard	Throws a grenade into a bunker to flush out enemies.	orig		7.0	9.0	9.0	0.0	0.0	Combatants in a bunker are vulnerable to a grenade attack.	Highly deliberate action with clear intent to neutralize the enemy.	A grenade causes significant injury or death.	No help is provided to the enemies, but it may protect the soldier's comrades.	Complex morality in a war context: necessary action with severe harm; roughly neutral.	The soldier	They are in a combat situation and aiming to neutralize the enemy	The enemies in the bunker	They are combatants but still human beings	-0.2133333333	The agent is the person throwing the grenade. I assume they are a soldier in a combat situation. The patients are the enemies in the bunker, who are combatants but still human beings. The action is highly deliberate, involving planning and intent to neutralize the enemy. The harm is extreme: a grenade causes significant injury or death. No help is provided to the enemies, but the action may protect the agent's comrades. The morality is complex: in war, such actions are often seen as necessary, but they involve severe harm and loss of life.	-3.214590311050415
529	Effron	Offered to show a new student around campus after class	orig		6.0	7.0	0.0	6.0	3.0	The new student is moderately vulnerable due to unfamiliarity with the new environment.	Deliberate and conscious offer to assist.	No harm is caused.	Substantial help in providing orientation and easing the transition.	A simple, positive act of kindness with clear benefits; highly moral.	The person offering to show the new student around	They are familiar with the campus and willing to help	The new student	They are unfamiliar with the campus and could benefit from guidance	2.04799992	The agent is the person offering to show the new student around. I assume they are familiar with the campus and willing to help. The patient is the new student, who is likely unfamiliar with the campus and could benefit from guidance. The new student is moderately vulnerable due to their unfamiliarity with the new environment. The action is deliberate — a conscious offer to assist. No harm is caused. The help is substantial: providing orientation and easing the new student's transition. A simple, positive act of kindness with clear benefits.	1.842768669128418
530	Kruepke	My husband and I split up and soon after he was arrested for drug use. While he was in jail I used some of his credit cards that I still had from our marriage. I did it so that he would be so upset with me that he would stop trying to contact me.	orig		6.0	7.0	6.0	0.0	-3.0	Incarcerated individual with moderate vulnerability due to financial and emotional impact.	Deliberate action with specific intent to provoke a reaction.	Significant financial loss and emotional distress caused.	No assistance or benefit provided; purely self-serving action.	Deliberate financial exploitation and emotional manipulation; clearly immoral.	The wife	She acted to provoke her ex-husband into ceasing contact	The ex-husband	He was in jail and unable to monitor his finances	-2.25	The agent is the wife who used her ex-husband's credit cards. The action was deliberate, aimed at provoking a reaction to sever contact. The patient is the ex-husband, who is in jail and unable to monitor his finances. He is moderately vulnerable due to his incarceration and the financial impact. The action was premeditated to some extent, as it involved using the credit cards with a specific intent. The harm is significant: financial loss and emotional distress. No help was provided; the action was purely self-serving. The act is clearly immoral due to the deliberate financial exploitation and emotional manipulation.	-2.4192543029785156
531	Clifford	You see an intern disobeying an order to dress professionally and comb his hair.	orig		5.0	4.0	2.0	0.0	-1.0	The organization is a typical professional entity with medium vulnerability to breaches of conduct.	Deliberate choice to disobey, but not highly premeditated.	Minor harm to professional image and possibly the intern's reputation.	No assistance or benefit provided to the organization.	Minor breach of professional conduct with minimal harm; mildly immoral.	The intern	They were aware of the professional dress code and chose to ignore it	The organization or workplace	The organization expects professional behavior from its employees	-1.9	The agent is the intern who disobeyed the order. I assume the intern was aware of the professional dress code and chose to ignore it. The patient is the organization or workplace that expects professional behavior from its employees. The intern is a typical adult with medium vulnerability in a professional setting. The action appears deliberate but not highly premeditated — likely a choice made out of personal preference or defiance. The harm is minor: it affects the professional image and possibly the intern's reputation, but no severe damage. No help is provided. The act is a minor breach of professional conduct, mildly immoral due to disregard for workplace norms.	-1.3045039176940918
532	Lotto	You are a specialist in underwater welding. You are working with your team of three other people in a small dam at a depth of 30m under water. Because of a problem with the flow regulator, about 100 cubic metres too much water has flowed into the dam. The pressure is too great and you are unable to surface.You activate the opening of the sluice gates. The water will flow into the valley where there is an observatory. You know that a researcher works there, and he/she will be swept away in the overflow water, but you and the other three will be saved.	orig		9.0	9.0	9.0	9.0	0.0	Both the researcher and the team members are highly vulnerable in their respective situations.	Deliberate action with full knowledge of the consequences.	Direct cause of the researcher's death by flooding.	Saves the lives of three team members from drowning.	Tragic utilitarian trade-off: one death directly caused to save three; roughly neutral.	The underwater welding specialist	They acted to save their team from a life-threatening situation	The researcher and the three team members	The researcher is defenseless against the flood, and the team is trapped underwater	-1.1	The agent is the underwater welding specialist who activated the sluice gates. The action is deliberate, taken to save the lives of the team. The patients are dual: the researcher in the observatory, who will be swept away, and the three team members, who will be saved. The researcher is highly vulnerable, unable to escape the sudden flood. The team members are also vulnerable, trapped underwater with no other means of escape. The harm is extreme: the researcher will likely die due to the flood. The help is also extreme: saving the lives of the three team members. This is another tragic utilitarian scenario where one life is sacrificed to save multiple others; ethically complex with no clear right answer.	-0.6115724444389343
